Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Cognite ventures",="https://finder.startupnationcentral.org/investor_page/cognite-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Coin Ventures",="https://finder.startupnationcentral.org/investor_page/coin-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CoinIX",="https://finder.startupnationcentral.org/investor_page/coinix",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Colchis Capital",="https://finder.startupnationcentral.org/investor_page/colchis-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Columbia Pacific Capital Partners",="https://finder.startupnationcentral.org/investor_page/columbia-pacific-capital-partners",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Columbia Technology Ventures",="https://finder.startupnationcentral.org/investor_page/columbia-technology-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Comdata Group",="https://finder.startupnationcentral.org/investor_page/comdata-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Communitas Capital Partners",="https://finder.startupnationcentral.org/investor_page/communitas-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Compa Capital",="https://finder.startupnationcentral.org/investor_page/compa-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Compound",="https://finder.startupnationcentral.org/investor_page/compound",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="ComVentures",="https://finder.startupnationcentral.org/investor_page/comventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Concept Ventures",="https://finder.startupnationcentral.org/investor_page/-concept-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Conductive Ventures",="https://finder.startupnationcentral.org/investor_page/conductive-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Consensus Capital",="https://finder.startupnationcentral.org/investor_page/consensus-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Convent Capital",="https://finder.startupnationcentral.org/investor_page/convent-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Converge",="https://finder.startupnationcentral.org/investor_page/converge",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Core Innovation Capital",="https://finder.startupnationcentral.org/investor_page/core-innovation-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Corigin Ventures",="https://finder.startupnationcentral.org/investor_page/corigin-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cortical Ventures",="https://finder.startupnationcentral.org/investor_page/cortical-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Counteract",="https://finder.startupnationcentral.org/investor_page/counteract",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
