Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Abraham Fund",="https://finder.startupnationcentral.org/investor_page/abraham-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ABS Capital Partners",="https://finder.startupnationcentral.org/investor_page/abs-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ABS Ventures",="https://finder.startupnationcentral.org/investor_page/abs-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Abstract Ventures",="https://finder.startupnationcentral.org/investor_page/abstract-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Abstraction Capital",="https://finder.startupnationcentral.org/investor_page/abstraction-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Accele Biopharma",="https://finder.startupnationcentral.org/investor_page/accele-biopharma",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Accomplice Blockchain",="https://finder.startupnationcentral.org/investor_page/accomplice-blockchain",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Acequia Capital",="https://finder.startupnationcentral.org/investor_page/acequia-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Acies Investments",="https://finder.startupnationcentral.org/investor_page/acies-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Acorn Bioventures",="https://finder.startupnationcentral.org/investor_page/acorn-bioventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="ACS",="https://finder.startupnationcentral.org/investor_page/acs",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Act One Ventures",="https://finder.startupnationcentral.org/investor_page/act-one-ventures",="VC and Private Equity",="",="1",="0",="$148M",="Undisclosed",
="Activate Capital Partners",="https://finder.startupnationcentral.org/investor_page/activate-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Adar Tech Fund",="https://finder.startupnationcentral.org/investor_page/adar-tech-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Addition",="https://finder.startupnationcentral.org/investor_page/addition",="VC and Private Equity",="",="6",="1",="",="Undisclosed",
="Addventure",="https://finder.startupnationcentral.org/investor_page/addventure",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
