Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Teseo Capital",="https://finder.startupnationcentral.org/investor_page/teseo-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Tet Ventures",="https://finder.startupnationcentral.org/investor_page/tet-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Tethys Equity",="https://finder.startupnationcentral.org/investor_page/tethys-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Teva Pharmaceuticals' RISE Challenge",="https://finder.startupnationcentral.org/investor_page/teva-pharmaceuticals-rise-challenge",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Texas Atlantic Capital",="https://finder.startupnationcentral.org/investor_page/texas-atlantic-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Texas Ventures",="https://finder.startupnationcentral.org/investor_page/texas-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="TG Ventures",="https://finder.startupnationcentral.org/investor_page/tg-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Thai Union Group",="https://finder.startupnationcentral.org/investor_page/thai-union-group",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Thayer Ventures",="https://finder.startupnationcentral.org/investor_page/thayer-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="The Capital Group Companies",="https://finder.startupnationcentral.org/investor_page/the-capital-group-companies",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="The Carlyle Group",="https://finder.startupnationcentral.org/investor_page/the-carlyle-group",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="The Case for Her",="https://finder.startupnationcentral.org/investor_page/the-case-for-her",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
"The Challenge Fund, Etgar",="https://finder.startupnationcentral.org/investor_page/the-challenge-fund-etgar",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="The Chernin Group",="https://finder.startupnationcentral.org/investor_page/the-chernin-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="The Disability Opportunity Fund",="https://finder.startupnationcentral.org/investor_page/the-disability-opportunity-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="The Elias Group",="https://finder.startupnationcentral.org/investor_page/the-elias-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="The Export and Investment Fund of Denmark",="https://finder.startupnationcentral.org/investor_page/the-export-and-investment-fund-of-denmark",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="The Fishman Group",="https://finder.startupnationcentral.org/investor_page/the-fishman-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
