Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Winnovation",="https://finder.startupnationcentral.org/investor_page/winnovation",="VC and Private Equity",="",="9",="0",="",="1M - 4M",
="World Trade Ventures",="https://finder.startupnationcentral.org/investor_page/world-trade-ventures",="VC and Private Equity",="",="23",="3",="",="Undisclosed",
="XB Ventures",="https://finder.startupnationcentral.org/investor_page/xb-ventures",="VC and Private Equity",="",="4",="2",="",="350K - 500K",
="Xenia Venture Capital",="https://finder.startupnationcentral.org/investor_page/xenia-venture-capital",="VC and Private Equity",="",="28",="0",="",="Undisclosed",
="Yonaco Group",="https://finder.startupnationcentral.org/investor_page/yonaco-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zaitoun Ventures",="https://finder.startupnationcentral.org/investor_page/zaitoun-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Zero Gravity Capital",="https://finder.startupnationcentral.org/investor_page/zero-gravity-capital",="VC and Private Equity",="",="1",="0",="$26M",="Undisclosed",
="Zero One Hundred",="https://finder.startupnationcentral.org/investor_page/zero-one-hundred",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Anfield",="https://finder.startupnationcentral.org/investor_page/anfield",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="UP.Partners",="https://finder.startupnationcentral.org/investor_page/up-partners-1",="VC and Private Equity",="",="32",="13",="$500M",="30 - 50M",
="Amplify Partners",="https://finder.startupnationcentral.org/investor_page/amplify-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="MUFG Innovation Partners (MUIP)",="https://finder.startupnationcentral.org/investor_page/mufg-innovation-partners-muip",="VC and Private Equity",="",="9",="2",="$650M",="Undisclosed",
="Atlas Venture",="https://finder.startupnationcentral.org/investor_page/atlas-venture",="VC and Private Equity",="",="6",="0",="$900M",="Undisclosed",
="Fifth Wall",="https://finder.startupnationcentral.org/investor_page/fifth-wall",="VC and Private Equity",="",="6",="1",="",="Undisclosed",
="J-Impact Fund",="https://finder.startupnationcentral.org/investor_page/j-impact-fund",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Tiferes Ventures",="https://finder.startupnationcentral.org/investor_page/tiferes-ventures",="VC and Private Equity",="",="5",="3",="",="Undisclosed",
="Ascend Capital Partners",="https://finder.startupnationcentral.org/investor_page/ascend-capital-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Bond",="https://finder.startupnationcentral.org/investor_page/bond",="VC and Private Equity",="",="6",="2",="",="Undisclosed",
="Infinity VC",="https://finder.startupnationcentral.org/investor_page/infinity-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Investible",="https://finder.startupnationcentral.org/investor_page/investible",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Riverwood Capital",="https://finder.startupnationcentral.org/investor_page/riverwood-capital",="VC and Private Equity",="",="2",="1",="$6.1B",="25M - 100M",
="S2G Investments",="https://finder.startupnationcentral.org/investor_page/s2g-investments",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Trucks Venture Capital",="https://finder.startupnationcentral.org/investor_page/trucks-venture-capital",="VC and Private Equity",="",="3",="0",="",="500K - 2M",
="97212 Ventures",="https://finder.startupnationcentral.org/investor_page/97212-ventures",="VC and Private Equity",="",="11",="7",="",="Undisclosed",
="Acrew Capital",="https://finder.startupnationcentral.org/investor_page/acrew-capital",="VC and Private Equity",="",="12",="2",="$1B",="1M - 20M",
="Adam Partners",="https://finder.startupnationcentral.org/investor_page/adam-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Adams Street Partners",="https://finder.startupnationcentral.org/investor_page/adams-street-partners",="VC and Private Equity",="",="12",="3",="$60B",="Undisclosed",
="AE Industrial Partners",="https://finder.startupnationcentral.org/investor_page/ae-industrial-partners",="VC and Private Equity",="",="0",="0",="$5.6B",="Undisclosed",
="Aescuvest",="https://finder.startupnationcentral.org/investor_page/aescuvest",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Alumni Ventures",="https://finder.startupnationcentral.org/investor_page/alumni-ventures",="VC and Private Equity",="",="16",="7",="",="10K - 100M",
="Arkin Tech",="https://finder.startupnationcentral.org/investor_page/arkin-tech",="VC and Private Equity",="",="13",="2",="$2B",="Undisclosed",
="Ascent Venture Partners",="https://finder.startupnationcentral.org/investor_page/ascent-venture-partners",="VC and Private Equity",="",="8",="0",="$500M",="Undisclosed",
="Avid Ventures",="https://finder.startupnationcentral.org/investor_page/avid-ventures-1",="VC and Private Equity",="",="6",="2",="",="Undisclosed",
="Aviso Ventures",="https://finder.startupnationcentral.org/investor_page/aviso-ventures",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="b2venture",="https://finder.startupnationcentral.org/investor_page/b2venture-1",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Bling Capital",="https://finder.startupnationcentral.org/investor_page/bling-capital",="VC and Private Equity",="",="3",="1",="$360M",="1M - 1M",
="Canvas Prime",="https://finder.startupnationcentral.org/investor_page/canvas-prime",="VC and Private Equity",="",="6",="0",="$835M",="5M - 15M",
="CareQuest Innovation Partners",="https://finder.startupnationcentral.org/investor_page/carequest-innovation-partners",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="ClearSky Security",="https://finder.startupnationcentral.org/investor_page/clearsky-security",="VC and Private Equity",="",="7",="4",="",="Undisclosed",
="Creations VC",="https://finder.startupnationcentral.org/investor_page/creations-vc",="VC and Private Equity",="",="3",="3",="",="Undisclosed",
="Dawn Capital",="https://finder.startupnationcentral.org/investor_page/dawn-capital",="VC and Private Equity",="",="15",="2",="$2.09B",="4M - 100M",
="DB Group Investments",="https://finder.startupnationcentral.org/investor_page/db-group-investments",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="DFJ Growth",="https://finder.startupnationcentral.org/investor_page/dfj-growth",="VC and Private Equity",="",="5",="0",="$1.2B",="Undisclosed",
="DNX Ventures",="https://finder.startupnationcentral.org/investor_page/dnx-ventures",="VC and Private Equity",="",="10",="3",="",="Undisclosed",
="Edison Partners",="https://finder.startupnationcentral.org/investor_page/edison-partners",="VC and Private Equity",="",="6",="0",="$2.2B",="5M - 20M",
="Engineering Capital",="https://finder.startupnationcentral.org/investor_page/engineering-capital",="VC and Private Equity",="",="8",="1",="",="Undisclosed",
="European Union’s EIC Fund",="https://finder.startupnationcentral.org/investor_page/european-union-s-eic-fund",="VC and Private Equity",="",="10",="8",="",="550K - 16M",
="Evolution Equity Partners",="https://finder.startupnationcentral.org/investor_page/evolution-equity-partners",="VC and Private Equity",="",="22",="9",="$1.1B",="20M - 100M",
="Exigent Capital Group",="https://finder.startupnationcentral.org/investor_page/exigent-capital-group",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Felicis Ventures",="https://finder.startupnationcentral.org/investor_page/felicis-ventures",="VC and Private Equity",="",="8",="1",="",="Undisclosed",
