Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Catalio Capital Management",="https://finder.startupnationcentral.org/investor_page/catalio-capital-management",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Cathexis Ventures",="https://finder.startupnationcentral.org/investor_page/cathexis-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cavallo Ventures",="https://finder.startupnationcentral.org/investor_page/cavallo-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="CBC Capital",="https://finder.startupnationcentral.org/investor_page/cbc-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CDIB Capital",="https://finder.startupnationcentral.org/investor_page/cdib-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Celgene Corporation(Japan)",="https://finder.startupnationcentral.org/investor_page/celgene-corporation-japan",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cell Capital Partners",="https://finder.startupnationcentral.org/investor_page/cell-capital-partners",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="CEMEX Ventures",="https://finder.startupnationcentral.org/investor_page/cemex-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Cendana Capital",="https://finder.startupnationcentral.org/investor_page/cendana-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
"Central Park Group, LLC",="https://finder.startupnationcentral.org/investor_page/central-park-group-llc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Centurium Capital",="https://finder.startupnationcentral.org/investor_page/centurium-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="CerraCap Ventures",="https://finder.startupnationcentral.org/investor_page/cerracap-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Cerulean Ventures",="https://finder.startupnationcentral.org/investor_page/cerulean-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CF Private Equity",="https://finder.startupnationcentral.org/investor_page/cf-private-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Charles River Ventures",="https://finder.startupnationcentral.org/investor_page/charles-river-ventures",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Charles Street Securities Europe LLP",="https://finder.startupnationcentral.org/investor_page/charles-street-securities-europe-llp",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Chasing Value Asset Management",="https://finder.startupnationcentral.org/investor_page/chasing-value-asset-management-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Chazen Capital Partners",="https://finder.startupnationcentral.org/investor_page/chazen-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cherubic Ventures",="https://finder.startupnationcentral.org/investor_page/cherubic-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Chesapeake Advisory Group",="https://finder.startupnationcentral.org/investor_page/chesapeake-advisory-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Chetrit Ventures",="https://finder.startupnationcentral.org/investor_page/chetrit-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="China Israel Biology (CIB)",="https://finder.startupnationcentral.org/investor_page/china-israel-biology-cib",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="China Merchants SINO-BLR Capital Management",="https://finder.startupnationcentral.org/investor_page/china-merchants-sino-blr-capital-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="China-Israel Education VC Fund",="https://finder.startupnationcentral.org/investor_page/china-israel-education-vc-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Chione",="https://finder.startupnationcentral.org/investor_page/chione",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Chong Kun Dang Pharma",="https://finder.startupnationcentral.org/investor_page/chong-kun-dang-pharma",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Chrysalis Investments",="https://finder.startupnationcentral.org/investor_page/chrysalis-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CICC Capital",="https://finder.startupnationcentral.org/investor_page/cicc-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CIG Capital",="https://finder.startupnationcentral.org/investor_page/cig-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cigna Ventures",="https://finder.startupnationcentral.org/investor_page/cigna-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cipio Partners",="https://finder.startupnationcentral.org/investor_page/cipio-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Cisco",="https://finder.startupnationcentral.org/investor_page/cisco",="VC and Private Equity",="",="9",="0",="",="Undisclosed",
="Citrine Capital",="https://finder.startupnationcentral.org/investor_page/citrine-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Citrine Global",="https://finder.startupnationcentral.org/investor_page/citrine-global",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="City Light Capital",="https://finder.startupnationcentral.org/investor_page/city-light-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CJV Capital",="https://finder.startupnationcentral.org/investor_page/cjv-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CKD Pharmaceuticals",="https://finder.startupnationcentral.org/investor_page/ckd-pharmaceuticals",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="CLA",="https://finder.startupnationcentral.org/investor_page/cla",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Clarus Ventures",="https://finder.startupnationcentral.org/investor_page/clarus-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Claure Group",="https://finder.startupnationcentral.org/investor_page/claure-group",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Clearstone Venture Partners",="https://finder.startupnationcentral.org/investor_page/clearstone-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Clearvision Ventures",="https://finder.startupnationcentral.org/investor_page/clearvision-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Cleveland Avenue",="https://finder.startupnationcentral.org/investor_page/cleveland-avenue",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Climate Capital",="https://finder.startupnationcentral.org/investor_page/climate-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Climate Solutions Fund",="https://finder.startupnationcentral.org/investor_page/climate-solutions-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Clover Wolf Capital",="https://finder.startupnationcentral.org/investor_page/clover-wolf-capital",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="CMCC Global",="https://finder.startupnationcentral.org/investor_page/cmcc-global",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="CMT Digital",="https://finder.startupnationcentral.org/investor_page/cmt-digital-1",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="co.lab",="https://finder.startupnationcentral.org/investor_page/co-lab",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Cobro Ventures",="https://finder.startupnationcentral.org/investor_page/cobro-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
