Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="New Enterprise Associates",="https://finder.startupnationcentral.org/investor_page/new-enterprise-associates-1",="VC and Private Equity",="",="26",="4",="$25B",="Undisclosed",
="OurCrowd",="https://finder.startupnationcentral.org/investor_page/ourcrowd",="VC and Private Equity",="",="618",="90",="$2.35B",="10K - Undisclosed",
="iAngels",="https://finder.startupnationcentral.org/investor_page/i-angels",="VC and Private Equity",="",="147",="49",="$550M",="Undisclosed",
="AltaIR Capital",="https://finder.startupnationcentral.org/investor_page/altair-capital",="VC and Private Equity",="",="68",="1",="$600M",="100K - 10M",
="General Atlantic",="https://finder.startupnationcentral.org/investor_page/general-atlantic",="VC and Private Equity",="",="13",="2",="$86B",="Undisclosed",
="Neal Cohen",="https://finder.startupnationcentral.org/investor_page/neal-cohen",="Angel",="",="6",="6",="",="Undisclosed",
="Qualcomm Ventures",="https://finder.startupnationcentral.org/investor_page/qualcomm-ventures",="Corporate VC",="",="59",="6",="$2B",="5M - 10M",
="Taya Ventures",="https://finder.startupnationcentral.org/investor_page/taya-ventures",="VC and Private Equity",="",="16",="0",="",="Undisclosed",
="Pitango HealthTech",="https://finder.startupnationcentral.org/investor_page/pitango-healthtech",="VC and Private Equity",="",="37",="14",="$300M",="1M - 15M",
="B WORLD CLASS",="https://finder.startupnationcentral.org/investor_page/b-world-class-ltd",="Angel Group",="",="5",="0",="",="5K - 150K",
="Kinetica",="https://finder.startupnationcentral.org/investor_page/kinetica",="VC and Private Equity",="",="3",="3",="",="Undisclosed",
="The Founders Kitchen",="https://finder.startupnationcentral.org/investor_page/the-founders-kitchen",="VC and Private Equity",="",="11",="0",="",="Undisclosed",
="ZORA Ventures",="https://finder.startupnationcentral.org/investor_page/zora-ventures",="VC and Private Equity",="",="15",="1",="",="500K - 1M",
="Bessemer Venture Partners",="https://finder.startupnationcentral.org/investor_page/bessemer",="VC and Private Equity",="",="163",="17",="$9.44B",="Undisclosed",
="Eshbol Ventures",="https://finder.startupnationcentral.org/investor_page/eshbol-ventures",="VC and Private Equity",="",="11",="0",="",="50K - 1M",
="Key1 Capital",="https://finder.startupnationcentral.org/investor_page/key1-capital",="VC and Private Equity",="",="6",="3",="$300M",="20M - 40M",
="New Gate Capital",="https://finder.startupnationcentral.org/investor_page/new-gate-capital",="VC and Private Equity",="",="9",="4",="$100M",="500K - 3M",
="Tal Ventures",="https://finder.startupnationcentral.org/investor_page/tal-capital",="VC and Private Equity",="",="54",="21",="$50M",="250K - 500K",
="TLV Partners",="https://finder.startupnationcentral.org/investor_page/tlv-partners",="VC and Private Equity",="",="141",="40",="$1B",="4M - 8M",
="Viola Fintech",="https://finder.startupnationcentral.org/investor_page/viola-fintech",="VC and Private Equity",="",="24",="1",="$122M",="3M - 10M",
="4T Ventures",="https://finder.startupnationcentral.org/investor_page/4t-ventures",="VC and Private Equity",="",="8",="7",="",="Undisclosed",
="Accelmed",="https://finder.startupnationcentral.org/investor_page/accelmed",="VC and Private Equity",="",="30",="1",="$730M",="20M - 50M",
="ATOORO Fund",="https://finder.startupnationcentral.org/investor_page/atooro-fund",="VC and Private Equity",="",="34",="2",="$100M",="500K - 3M",
="CitySide Ventures",="https://finder.startupnationcentral.org/investor_page/cityside-ventures",="VC and Private Equity",="",="1",="1",="$36M",="25K - 750K",
="Cognitiv Ventures",="https://finder.startupnationcentral.org/investor_page/cognitive-ventures",="Equity Crowdfunding",="",="6",="0",="$100M",="Undisclosed",
="CyberStarts",="https://finder.startupnationcentral.org/investor_page/cyberstarts",="VC and Private Equity",="",="51",="16",="$1.02B",="Undisclosed",
="Entrée Capital",="https://finder.startupnationcentral.org/investor_page/entr-e-capital",="VC and Private Equity",="",="175",="36",="$1.3B",="250K - 18M",
="ESIL",="https://finder.startupnationcentral.org/investor_page/esil",="Incubator",="",="15",="9",="",="Undisclosed",
="Hanaco Ventures",="https://finder.startupnationcentral.org/investor_page/hanaco-ventures",="VC and Private Equity",="",="72",="12",="$2.5B",="2M - 20M",
="I3 Capital Group",="https://finder.startupnationcentral.org/investor_page/i3-capital-group",="Institutional Investor",="",="1",="1",="",="5M - 50M",
="i3 Partners",="https://finder.startupnationcentral.org/investor_page/i3-partners",="VC and Private Equity",="",="18",="2",="$40M",="500K - 1.5M",
="ICI Fund",="https://finder.startupnationcentral.org/investor_page/israel-colorado-innovation-fund",="VC and Private Equity",="",="20",="8",="",="100K - 1M",
="IL Ventures",="https://finder.startupnationcentral.org/investor_page/il-ventures",="VC and Private Equity",="",="11",="4",="$30M",="1M - 3M",
="Kareem Yahya",="https://finder.startupnationcentral.org/investor_page/kareem-yahya",="VC and Private Equity",="",="0",="0",="",="10K - 1M",
="Liberty Strategic Capital",="https://finder.startupnationcentral.org/investor_page/liberty-strategic-capital",="VC and Private Equity",="",="3",="1",="$2.5B",="Undisclosed",
="Mobilion Ventures",="https://finder.startupnationcentral.org/investor_page/mobilion-ventures",="VC and Private Equity",="",="14",="2",="",="Undisclosed",
="MoreTech Ventures",="https://finder.startupnationcentral.org/investor_page/moretech-ventures",="VC and Private Equity",="",="14",="2",="",="Undisclosed",
="Ragnar Crossover Fund",="https://finder.startupnationcentral.org/investor_page/ragnar-crossover-fund",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Red Dot Capital Partners",="https://finder.startupnationcentral.org/investor_page/red-dot-capital-partners",="VC and Private Equity",="",="38",="9",="$694M",="10M - 20M",
="SE Ventures",="https://finder.startupnationcentral.org/investor_page/se-ventures",="Corporate VC",="",="7",="2",="$1.2B",="3.1M - 25M",
="Shavit Capital Fund",="https://finder.startupnationcentral.org/investor_page/shavit-capital-fund",="VC and Private Equity",="",="20",="1",="$400M",="1 - 15M",
="SignalFire",="https://finder.startupnationcentral.org/investor_page/signalfire",="VC and Private Equity",="",="13",="3",="$3B",="1 - 20M",
="StageOne Ventures",="https://finder.startupnationcentral.org/investor_page/stageone-ventures",="VC and Private Equity",="",="130",="22",="$500M",="500K - 3M",
="Sticker Ventures",="https://finder.startupnationcentral.org/investor_page/sticker-ventures",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="SYN Ventures",="https://finder.startupnationcentral.org/investor_page/syn-ventures",="VC and Private Equity",="",="9",="5",="$600M",="2.5M - 15M",
="TAU Ventures",="https://finder.startupnationcentral.org/investor_page/tau-ventures",="VC and Private Equity",="",="50",="5",="$70M",="1M - Undisclosed",
="TBD VC",="https://finder.startupnationcentral.org/investor_page/tbd-vc",="VC and Private Equity",="",="0",="0",="$35M",="1M - 1M",
="VentureIsrael",="https://finder.startupnationcentral.org/investor_page/ventureisrael",="VC and Private Equity",="",="28",="9",="",="500K - 1.5M",
="Vine Ventures",="https://finder.startupnationcentral.org/investor_page/vine",="VC and Private Equity",="",="12",="5",="$300M",="1M - 10M",
="10D",="https://finder.startupnationcentral.org/investor_page/10d",="VC and Private Equity",="",="35",="12",="$355M",="1M - 5M",
