Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Figtree Partners",="https://finder.startupnationcentral.org/investor_page/figtree-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Figure Eight Investments",="https://finder.startupnationcentral.org/investor_page/figure-eight-investments",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Finality Capital Partners",="https://finder.startupnationcentral.org/investor_page/finality-capital-partners",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Financial Services (TASE:HARL)",="https://finder.startupnationcentral.org/investor_page/financial-services-tase-harl",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Finaves S.C.R.",="https://finder.startupnationcentral.org/investor_page/finaves-s-c-r",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="FinTech Fund",="https://finder.startupnationcentral.org/investor_page/fintech-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FinTech GIMV Fund",="https://finder.startupnationcentral.org/investor_page/fintech-gimv-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fintop Capital",="https://finder.startupnationcentral.org/investor_page/fintop-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Firestreak Ventures",="https://finder.startupnationcentral.org/investor_page/firestreak-ventures",="VC and Private Equity",="",="6",="6",="",="Undisclosed",
="First In Ventures",="https://finder.startupnationcentral.org/investor_page/first-in-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="First Light Capital Group",="https://finder.startupnationcentral.org/investor_page/first-light-capital-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="First Rays Venture Partners",="https://finder.startupnationcentral.org/investor_page/first-rays-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="First Stage Labs",="https://finder.startupnationcentral.org/investor_page/first-stage-labs",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="First Star Ventures",="https://finder.startupnationcentral.org/investor_page/first-star-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Firsthand Alliance",="https://finder.startupnationcentral.org/investor_page/firsthand-alliance",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="FirstMark Capital",="https://finder.startupnationcentral.org/investor_page/firstmark-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fishman Investments",="https://finder.startupnationcentral.org/investor_page/fishman-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fitch Ventures",="https://finder.startupnationcentral.org/investor_page/fitch-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Flerie Invest AB",="https://finder.startupnationcentral.org/investor_page/flerie-invest-ab",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
"Fletcher Spaght, Inc.",="https://finder.startupnationcentral.org/investor_page/fletcher-spaght-inc",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="FLOODGATE",="https://finder.startupnationcentral.org/investor_page/floodgate",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Flori Ventures",="https://finder.startupnationcentral.org/investor_page/flori-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Flourish Ventures",="https://finder.startupnationcentral.org/investor_page/flourish-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Flyer One Ventures",="https://finder.startupnationcentral.org/investor_page/flyer-one-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Flying Fish Partners",="https://finder.startupnationcentral.org/investor_page/flying-fish-partners",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="FM Capital",="https://finder.startupnationcentral.org/investor_page/fm-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FMO",="https://finder.startupnationcentral.org/investor_page/fmo-1",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Fontinalis Partners",="https://finder.startupnationcentral.org/investor_page/fontinalis-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Food Retail Ventures",="https://finder.startupnationcentral.org/investor_page/food-retail-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FoodLabs",="https://finder.startupnationcentral.org/investor_page/foodlabs",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Forbion Capital Partners",="https://finder.startupnationcentral.org/investor_page/forbion-capital-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Force Over Mass",="https://finder.startupnationcentral.org/investor_page/force-over-mass",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Forerunner",="https://finder.startupnationcentral.org/investor_page/forerunner",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Foresight Group",="https://finder.startupnationcentral.org/investor_page/foresight-group",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Foresite Capital",="https://finder.startupnationcentral.org/investor_page/foresite-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ForgePoint Capital",="https://finder.startupnationcentral.org/investor_page/forgepoint-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Formation 8",="https://finder.startupnationcentral.org/investor_page/formation-8",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Formation 9",="https://finder.startupnationcentral.org/investor_page/formation-9",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Formed",="https://finder.startupnationcentral.org/investor_page/formed",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Formula Vision Technologies",="https://finder.startupnationcentral.org/investor_page/formula-vision-technologies",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fornaciari Trust",="https://finder.startupnationcentral.org/investor_page/fornaciari-trust",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fortress Investment Group LLC",="https://finder.startupnationcentral.org/investor_page/fortress-investment-group-llc",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Fos Finance",="https://finder.startupnationcentral.org/investor_page/fos-finance",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Founders",="https://finder.startupnationcentral.org/investor_page/founders",="VC and Private Equity",="",="9",="0",="",="Undisclosed",
="Founders Circle Capital",="https://finder.startupnationcentral.org/investor_page/founders-circle-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Founders Co-op",="https://finder.startupnationcentral.org/investor_page/founders-co-op",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FoundersX Ventures",="https://finder.startupnationcentral.org/investor_page/foundersx-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Four M Commercial Operations",="https://finder.startupnationcentral.org/investor_page/four-m-commercial-operations",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Four Rivers Group",="https://finder.startupnationcentral.org/investor_page/four-rivers-group",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Fourth Realm",="https://finder.startupnationcentral.org/investor_page/fourth-realm",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
