Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="2i Ventures",="https://finder.startupnationcentral.org/investor_page/2i-ventures-1",="VC and Private Equity",="",="1",="0",="$20M",="Undisclosed",
="83North",="https://finder.startupnationcentral.org/investor_page/83north",="VC and Private Equity",="",="106",="5",="$2.2B",="Undisclosed",
="Accel",="https://finder.startupnationcentral.org/investor_page/accel-partners",="VC and Private Equity",="",="104",="13",="$18.95B",="Undisclosed",
="Ace Capital Partners",="https://finder.startupnationcentral.org/investor_page/ace-capital-partners",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="AION Labs",="https://finder.startupnationcentral.org/investor_page/aion-labs",="Incubator",="",="7",="5",="",="Undisclosed - 1M",
="Aleph",="https://finder.startupnationcentral.org/investor_page/aleph",="VC and Private Equity",="",="115",="15",="$850M",="2M - Undisclosed",
="ALIVE Israel Healthtech Fund",="https://finder.startupnationcentral.org/investor_page/alive-israel-healthtech-fund",="VC and Private Equity",="",="15",="4",="",="5M - 20M",
="Amit Gilon",="https://finder.startupnationcentral.org/investor_page/amit-gilon1",="Angel",="",="8",="3",="",="Undisclosed",
="aMoon Fund",="https://finder.startupnationcentral.org/investor_page/amoon-partners",="VC and Private Equity",="",="48",="7",="$1.3B",="Undisclosed",
="AnD Ventures",="https://finder.startupnationcentral.org/investor_page/and-ventures",="VC and Private Equity",="",="27",="14",="$60M",="200K - 3M",
="Andreessen Horowitz",="https://finder.startupnationcentral.org/investor_page/andreessen-horowitz",="VC and Private Equity",="",="34",="6",="$42B",="25K - Undisclosed",
="Angular Ventures",="https://finder.startupnationcentral.org/investor_page/angular-ventures1",="VC and Private Equity",="",="36",="9",="$121M",="100K - 3M",
="AP Partners",="https://finder.startupnationcentral.org/investor_page/ap-partners",="VC and Private Equity",="",="8",="0",="$100M",="Undisclosed",
="Arieli Group",="https://finder.startupnationcentral.org/investor_page/arieli-group-1",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Aristagora VC",="https://finder.startupnationcentral.org/investor_page/aristagora-vc",="VC and Private Equity",="",="16",="3",="$60M",="500K - 2M",
="Arkin Digital Health",="https://finder.startupnationcentral.org/investor_page/arkin-digital-health",="VC and Private Equity",="",="9",="2",="",="Undisclosed",
="Arnaud Lorie",="https://finder.startupnationcentral.org/investor_page/arnaud-lorie",="Angel",="",="12",="6",="",="100K - 1M",
="Artofin",="https://finder.startupnationcentral.org/investor_page/artofin",="VC and Private Equity",="",="9",="6",="",="2M - 7M",
="at.inc/",="https://finder.startupnationcentral.org/investor_page/at-inc",="VC and Private Equity",="",="14",="5",="",="Undisclosed",
="Avigdor  Willenz",="https://finder.startupnationcentral.org/investor_page/avigdor-willenz",="Angel",="",="19",="2",="",="Undisclosed",
="Avishai  Abrahami",="https://finder.startupnationcentral.org/investor_page/avishai-abrahami",="Angel",="",="19",="2",="",="50K - 200K",
="Awz Ventures",="https://finder.startupnationcentral.org/investor_page/awz-ventures",="VC and Private Equity",="",="38",="7",="$2.5B",="Undisclosed",
="Bain Capital Ventures",="https://finder.startupnationcentral.org/investor_page/bain-capital-ventures",="VC and Private Equity",="",="20",="2",="$6.6B",="1M - 100M",
="Battery Ventures",="https://finder.startupnationcentral.org/investor_page/battery-ventures",="VC and Private Equity",="",="133",="8",="",="Undisclosed",
="Benchmark Capital",="https://finder.startupnationcentral.org/investor_page/benchmark-capital",="VC and Private Equity",="",="56",="2",="",="100K - Undisclosed",
="Benhamou Global Ventures",="https://finder.startupnationcentral.org/investor_page/benhamou-global-ventures",="VC and Private Equity",="",="26",="3",="$500M",="Undisclosed",
="BIRD Foundation",="https://finder.startupnationcentral.org/investor_page/bird-foundation-1",="Grant Provider",="",="2",="2",="",="200K - Undisclosed",
="Blue Capital",="https://finder.startupnationcentral.orgEy9nTRg8UtpSfriMVuyewyRE8kjusmUx6MNurMMLgEqPRXmRCT5cu0",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
