Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="DAFNA Capital Management",="https://finder.startupnationcentral.org/investor_page/dafna-capital-management",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Daiwa Corporation",="https://finder.startupnationcentral.org/investor_page/daiwa-corporation",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dallas Venture Capital",="https://finder.startupnationcentral.org/investor_page/dallas-venture-capital",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Danmar Capital",="https://finder.startupnationcentral.org/investor_page/danmar-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Danone Manifesto Ventures",="https://finder.startupnationcentral.org/investor_page/-danone-manifesto-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Dao5",="https://finder.startupnationcentral.org/investor_page/dao5",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Darwin Real Estate and Investments",="https://finder.startupnationcentral.org/investor_page/darwin-real-estate-and-investments",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="DASDAK",="https://finder.startupnationcentral.org/investor_page/dasdak-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Data Collective",="https://finder.startupnationcentral.org/investor_page/data-collective",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Data Point Capital",="https://finder.startupnationcentral.org/investor_page/data-point-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Davidson Capital",="https://finder.startupnationcentral.org/investor_page/davidson-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Daybreak Capital Partners",="https://finder.startupnationcentral.org/investor_page/daybreak-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="DB Capital Ventures",="https://finder.startupnationcentral.org/investor_page/db-capital-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="DBL Investors",="https://finder.startupnationcentral.org/investor_page/dbl-investors",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
