Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="SeedIL Ventures",="https://finder.startupnationcentral.org/investor_page/seedil-ventures",="VC and Private Equity",="",="35",="3",="$28M",="300K - 1M",
="Sequoia Capital",="https://finder.startupnationcentral.org/investor_page/sequoia-israel",="VC and Private Equity",="",="204",="19",="$4B",="Undisclosed",
="Sheva",="https://finder.startupnationcentral.org/investor_page/sheva",="VC and Private Equity",="",="6",="5",="$35M",="1M - 2M",
="Sienna Venture Capital",="https://finder.startupnationcentral.org/investor_page/sienna-venture-capital",="VC and Private Equity",="",="8",="4",="$120M",="5M - 15M",
="Sorenson Capital",="https://finder.startupnationcentral.org/investor_page/sorenson-capital",="VC and Private Equity",="",="11",="3",="$1B",="10M - 40M",
="SOSV",="https://finder.startupnationcentral.org/investor_page/sosv-1",="VC and Private Equity",="",="17",="4",="$1.5B",="Undisclosed",
="Spark Capital",="https://finder.startupnationcentral.org/investor_page/spark-capital",="VC and Private Equity",="",="36",="4",="",="Undisclosed",
="Spider Capital",="https://finder.startupnationcentral.org/investor_page/spider-capital",="VC and Private Equity",="",="16",="0",="",="Undisclosed",
="Square One Labs",="https://finder.startupnationcentral.org/investor_page/square-one-labs",="VC and Private Equity",="",="1",="1",="",="250K - 4M",
="Square Peg",="https://finder.startupnationcentral.org/investor_page/square-peg",="VC and Private Equity",="",="36",="4",="$3B",="1M - 25M",
="Stardom Ventures",="https://finder.startupnationcentral.org/investor_page/stardom-ventures",="VC and Private Equity",="",="15",="3",="$65M",="1M - 3M",
="StepStone Group",="https://finder.startupnationcentral.org/investor_page/stepstone-group-1",="VC and Private Equity",="",="10",="4",="$137.3B",="Undisclosed",
="Surround Ventures",="https://finder.startupnationcentral.org/investor_page/sababa-ventures",="VC and Private Equity",="",="13",="3",="$18M",="Undisclosed - 500K",
="Susquehanna Growth Equity",="https://finder.startupnationcentral.org/investor_page/susquehanna-growth-equity",="VC and Private Equity",="",="23",="1",="",="5M - 100M",
="Swish Ventures",="https://finder.startupnationcentral.org/investor_page/swish-ventures",="VC and Private Equity",="",="0",="0",="$125M",="5M - 7M",
="Tachles VC",="https://finder.startupnationcentral.org/investor_page/tachles-vc",="VC and Private Equity",="",="8",="7",="",="Undisclosed",
="Target Global",="https://finder.startupnationcentral.org/investor_page/target-global",="VC and Private Equity",="",="49",="3",="$3.4B",="200K - 30M",
="Team8",="https://finder.startupnationcentral.org/investor_page/team8",="VC and Private Equity",="",="74",="27",="$1.5B",="5M - 10M",
="TechAviv Founder Partners",="https://finder.startupnationcentral.org/investor_page/techaviv-founder-partners",="VC and Private Equity",="",="19",="2",="$80M",="500K - 3M",
="Tene Investment Funds",="https://finder.startupnationcentral.org/investor_page/tene-investment-funds",="VC and Private Equity",="",="17",="0",="$1B",="Undisclosed",
