Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Neotribe",="https://finder.startupnationcentral.org/investor_page/neotribe",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Neurato Investments",="https://finder.startupnationcentral.org/investor_page/neurato-investments",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Neuro Technology Investors",="https://finder.startupnationcentral.org/investor_page/neuro-technology-investors",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="New Age Ventures",="https://finder.startupnationcentral.org/investor_page/new-age-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="New Alliance Capital",="https://finder.startupnationcentral.org/investor_page/new-alliance-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="New Climate Ventures",="https://finder.startupnationcentral.org/investor_page/new-climate-ventures",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="New Form Capital",="https://finder.startupnationcentral.org/investor_page/new-form-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="New Leaf Venture Partners",="https://finder.startupnationcentral.org/investor_page/new-leaf-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="New Medical Technologies",="https://finder.startupnationcentral.org/investor_page/new-medical-technologies",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="New Rhein Healthcare Investors",="https://finder.startupnationcentral.org/investor_page/new-rhein-healthcare-investors",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="New Science Ventures",="https://finder.startupnationcentral.org/investor_page/new-science-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="New Spring Captia",="https://finder.startupnationcentral.org/investor_page/new-spring-captia",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="New Venture Partners",="https://finder.startupnationcentral.org/investor_page/new-venture-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="New York Ventures/ESDI",="https://finder.startupnationcentral.org/investor_page/new-york-ventures-esdi",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Newbury Acquisitions Fund",="https://finder.startupnationcentral.org/investor_page/newbury-acquisitions-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Newbury Ventures",="https://finder.startupnationcentral.org/investor_page/newbury-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NewRoad Capital Partners",="https://finder.startupnationcentral.org/investor_page/newroad-capital-partners",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Newton Technology Ventures",="https://finder.startupnationcentral.org/investor_page/newton-technology-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NewVale Capital",="https://finder.startupnationcentral.org/investor_page/newvale-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NexStar Partners",="https://finder.startupnationcentral.org/investor_page/nexstar-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Next Coast Ventures",="https://finder.startupnationcentral.org/investor_page/next-coast-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="NextGen Venture Partners",="https://finder.startupnationcentral.org/investor_page/nextgen-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NFP Ventures",="https://finder.startupnationcentral.org/investor_page/nfp-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NGN Capital",="https://finder.startupnationcentral.org/investor_page/ngn-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Nielsen Ventures",="https://finder.startupnationcentral.org/investor_page/nielsen-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Nima Capital",="https://finder.startupnationcentral.org/investor_page/nima-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Nimble Ventures",="https://finder.startupnationcentral.org/investor_page/nimble-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Nippon Broadcasting System Inc",="https://finder.startupnationcentral.org/investor_page/nippon-broadcasting-system-inc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Noaber",="https://finder.startupnationcentral.org/investor_page/noaber",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Node Capital",="https://finder.startupnationcentral.org/investor_page/node-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Node Capital",="https://finder.startupnationcentral.org/investor_page/node-capital-1",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Norfolk Green Ventures",="https://finder.startupnationcentral.org/investor_page/norfolk-green-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="North Base Media",="https://finder.startupnationcentral.org/investor_page/north-base-media",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="North Bridge Venture Partners & Growth Equity",="https://finder.startupnationcentral.org/investor_page/north-bridge-venture-partners-growth-equity",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="North Island Ventures (NIV)",="https://finder.startupnationcentral.org/investor_page/north-island-ventures-niv",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Nova Capital Management",="https://finder.startupnationcentral.org/investor_page/nova-capital-management",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="NOVA Prime Fund",="https://finder.startupnationcentral.org/investor_page/nova-prime-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Novak Biddle Venture Partners",="https://finder.startupnationcentral.org/investor_page/novak-biddle-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Novallia",="https://finder.startupnationcentral.org/investor_page/novallia",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NovaQuest Capital Management",="https://finder.startupnationcentral.org/investor_page/novaquest-capital-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Novartis Venture Fund",="https://finder.startupnationcentral.org/investor_page/novartis-venture-fund",="VC and Private Equity",="",="5",="2",="",="Undisclosed",
="Novel Collection",="https://finder.startupnationcentral.org/investor_page/novel-collection",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Novel TMT Ventures",="https://finder.startupnationcentral.org/investor_page/novel-tmt-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NovelStem International Corp",="https://finder.startupnationcentral.org/investor_page/novelstem-international-corp",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Noventi Ventures",="https://finder.startupnationcentral.org/investor_page/noventi-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NRV",="https://finder.startupnationcentral.org/investor_page/nrv",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="NTTVC",="https://finder.startupnationcentral.org/investor_page/nttvc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Nuveen Real Estate",="https://finder.startupnationcentral.org/investor_page/-nuveen-real-estate",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="NVCC",="https://finder.startupnationcentral.org/investor_page/nvcc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="O.R.T Technologies",="https://finder.startupnationcentral.org/investor_page/o-r-t-technologies-1",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
