Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Katapult",="https://finder.startupnationcentral.org/investor_page/katapult",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Katapult Ocean",="https://finder.startupnationcentral.org/investor_page/katapult-ocean",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KB Investment",="https://finder.startupnationcentral.org/investor_page/kb-investment",="VC and Private Equity",="",="4",="2",="$32B",="Undisclosed",
="KB Partners",="https://finder.startupnationcentral.org/investor_page/kb-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KCK Capital",="https://finder.startupnationcentral.org/investor_page/kck-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="KdTVC",="https://finder.startupnationcentral.org/investor_page/kdtvc",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="KDWC Ventures",="https://finder.startupnationcentral.org/investor_page/kdwc-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Keating International",="https://finder.startupnationcentral.org/investor_page/keating-international",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KEC Ventures",="https://finder.startupnationcentral.org/investor_page/kec-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Keiretsu Capital Co-Investment Fund",="https://finder.startupnationcentral.org/investor_page/keiretsu-capital-co-investment-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Kemp Au",="https://finder.startupnationcentral.org/investor_page/kemp-au",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kemper Corporation",="https://finder.startupnationcentral.org/investor_page/kemper-corporation",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KEN Investments",="https://finder.startupnationcentral.org/investor_page/ken-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kenetic",="https://finder.startupnationcentral.org/investor_page/kenetic",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kensington Capital Partners",="https://finder.startupnationcentral.org/investor_page/kensington-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kernel Capital",="https://finder.startupnationcentral.org/investor_page/kernel-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Key Capital",="https://finder.startupnationcentral.org/investor_page/key-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Key Investment Partners",="https://finder.startupnationcentral.org/investor_page/key-investment-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KeyFrame Capital",="https://finder.startupnationcentral.org/investor_page/keyframe-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="KGC Capital",="https://finder.startupnationcentral.org/investor_page/kgc-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Kilowatt Capital",="https://finder.startupnationcentral.org/investor_page/kilowatt-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kindergarten Ventures",="https://finder.startupnationcentral.org/investor_page/kindergarten-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Kindred Capital",="https://finder.startupnationcentral.org/investor_page/kindred-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
