Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Rock Springs Capital",="https://finder.startupnationcentral.org/investor_page/rock-springs-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="RockawayX",="https://finder.startupnationcentral.org/investor_page/rockawayx",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="RocSon Medtech Fund",="https://finder.startupnationcentral.org/investor_page/rocson-medtech-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ronald Lauder Ventures",="https://finder.startupnationcentral.org/investor_page/ronald-lauder-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Room40 Ventures",="https://finder.startupnationcentral.org/investor_page/room40-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Roosh Ventures",="https://finder.startupnationcentral.org/investor_page/roosh-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Root Ventures",="https://finder.startupnationcentral.org/investor_page/root-ventures-1",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Rosalind Advisors",="https://finder.startupnationcentral.org/investor_page/rosalind-advisors",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Rothenberg Ventures",="https://finder.startupnationcentral.org/investor_page/rothenberg-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Round Hill Ventures",="https://finder.startupnationcentral.org/investor_page/round-hill-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Royalty Ventures",="https://finder.startupnationcentral.org/investor_page/royalty-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="RRE Ventures",="https://finder.startupnationcentral.org/investor_page/rre-ventures",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="RSL Venture Partners",="https://finder.startupnationcentral.org/investor_page/rsl-venture-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="rubylight",="https://finder.startupnationcentral.org/investor_page/rubylight",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Runa Capital",="https://finder.startupnationcentral.org/investor_page/runa-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="RUSNANO",="https://finder.startupnationcentral.org/investor_page/rusnano",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Russian Venture Company",="https://finder.startupnationcentral.org/investor_page/russian-venture-company",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Rutledge Vine Capital",="https://finder.startupnationcentral.org/investor_page/rutledge-vine-capital",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="RXR (RADV)",="https://finder.startupnationcentral.org/investor_page/rxr-radv",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="S-Group Capital Management",="https://finder.startupnationcentral.org/investor_page/s-group-capital-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
