Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Standard Investments",="https://finder.startupnationcentral.org/investor_page/standard-investments-1",="VC and Private Equity",="",="3",="3",="",="Undisclosed",
="Storm Ventures",="https://finder.startupnationcentral.org/investor_page/storm-ventures",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="techstars",="https://finder.startupnationcentral.org/investor_page/techstars",="VC and Private Equity",="",="4",="4",="",="Undisclosed",
="TECHSTARS ACCELERATOR INVESTMENTS LLC",="https://finder.startupnationcentral.org/investor_page/techstars-accelerator-investments-llc",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="TELUS Ventures",="https://finder.startupnationcentral.org/investor_page/telus-ventures",="VC and Private Equity",="",="6",="4",="",="Undisclosed",
="Trendlines Group",="https://finder.startupnationcentral.org/investor_page/trendlines-group",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Unusual Ventures",="https://finder.startupnationcentral.org/investor_page/unusual-ventures",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Updata Partners",="https://finder.startupnationcentral.org/investor_page/updata-partners",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Variant Investments",="https://finder.startupnationcentral.org/investor_page/variant-investments",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Vitruvian Partners",="https://finder.startupnationcentral.org/investor_page/vitruvian-partners",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Wing Capital Group",="https://finder.startupnationcentral.org/investor_page/wing-capital-group",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Workday Ventures",="https://finder.startupnationcentral.org/investor_page/workday-ventures",="VC and Private Equity",="",="4",="2",="",="Undisclosed",
="Yorkville Advisors",="https://finder.startupnationcentral.org/investor_page/yorkville-advisors",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="01 Ventures",="https://finder.startupnationcentral.org/investor_page/01-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="11-11 Ventures",="https://finder.startupnationcentral.org/investor_page/11-11-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
