Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Beijing Jishi Daze Biological Science & Technology Center",="https://finder.startupnationcentral.org/investor_page/beijing-jishi-daze-biological-science-technology-center",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Benslie International Ltd",="https://finder.startupnationcentral.org/investor_page/benslie-international-ltd",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Beringea",="https://finder.startupnationcentral.org/investor_page/beringea",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Berkeley University Investment Fund",="https://finder.startupnationcentral.org/investor_page/berkeley-university-investment-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bernardo Investment",="https://finder.startupnationcentral.org/investor_page/bernardo-investment",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bertelsmann Digital Media Investments",="https://finder.startupnationcentral.org/investor_page/bertelsmann-digital-media-investments",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Bess Ventures",="https://finder.startupnationcentral.org/investor_page/bess-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Betaworks",="https://finder.startupnationcentral.org/investor_page/betaworks",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Better Bite Ventures",="https://finder.startupnationcentral.org/investor_page/better-bite-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Better Tomorrow Ventures",="https://finder.startupnationcentral.org/investor_page/better-tomorrow-ventures",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Beyond Impact Ventures",="https://finder.startupnationcentral.org/investor_page/beyond-impact-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="BHCO Group",="https://finder.startupnationcentral.org/investor_page/bhco-group-1",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Bicameral Ventures",="https://finder.startupnationcentral.org/investor_page/bicameral-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Big Sur Ventures",="https://finder.startupnationcentral.org/investor_page/big-sur-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Binuy and shikun",="https://finder.startupnationcentral.org/investor_page/binuy-and-shikun",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Bio Capital Impact Fund",="https://finder.startupnationcentral.org/investor_page/bio-capital-impact-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Biomedical Investments",="https://finder.startupnationcentral.org/investor_page/biomedical-investments",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Bios Line Holding",="https://finder.startupnationcentral.org/investor_page/bios-line-holding",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BioStar Capital",="https://finder.startupnationcentral.org/investor_page/biostar-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Biotech Alliances International",="https://finder.startupnationcentral.org/investor_page/biotech-alliances-international",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BIP Capital",="https://finder.startupnationcentral.org/investor_page/bip-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BIP Investment Partners",="https://finder.startupnationcentral.org/investor_page/bip-investment-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Birch Investment",="https://finder.startupnationcentral.org/investor_page/birch-investment",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bitmain",="https://finder.startupnationcentral.org/investor_page/bitmain-1",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Bitspiration",="https://finder.startupnationcentral.org/investor_page/bitspiration",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BitStone Capital",="https://finder.startupnationcentral.org/investor_page/bitstone-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Blindspot Ventures",="https://finder.startupnationcentral.org/investor_page/blindspot-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bloc Ventures",="https://finder.startupnationcentral.org/investor_page/bloc-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
