Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Deep Insight",="https://finder.startupnationcentral.org/investor_page/deep-insight",="VC and Private Equity",="",="17",="7",="",="1M - 10M",
="Dell Technologies Capital",="https://finder.startupnationcentral.org/investor_page/emc-ventures",="VC and Private Equity",="",="55",="8",="",="Undisclosed",
="Disruptive AI",="https://finder.startupnationcentral.org/investor_page/disruptive-ai",="VC and Private Equity",="",="13",="4",="",="Undisclosed",
="Doral Energy-Tech Ventures",="https://finder.startupnationcentral.org/investor_page/doral-energy-tech-ventures",="Corporate VC",="",="10",="3",="$100M",="Undisclosed",
="DTCP",="https://finder.startupnationcentral.org/investor_page/dtcp",="VC and Private Equity",="",="26",="4",="$3B",="5M - 50M",
="Earth & Beyond Ventures",="https://finder.startupnationcentral.org/investor_page/earth-beyond-ventures",="VC and Private Equity",="",="12",="10",="",="500K - 2M",
="Eclipse Ventures",="https://finder.startupnationcentral.org/investor_page/eclipse-ventures",="VC and Private Equity",="",="21",="5",="$4B",="Undisclosed",
="Edge Medical Ventures",="https://finder.startupnationcentral.org/investor_page/edge-medical-ventures",="VC and Private Equity",="",="2",="2",="$20M",="500K - 6M",
="eHealth Ventures",="https://finder.startupnationcentral.org/investor_page/ehealth-ventures",="VC and Private Equity",="",="52",="10",="$70M",="Undisclosed",
="Elron Ventures",="https://finder.startupnationcentral.org/investor_page/elron-electronic-industries",="VC and Private Equity",="",="56",="6",="$300M",="Undisclosed",
="Emerge",="https://finder.startupnationcentral.org/investor_page/emerge",="VC and Private Equity",="",="39",="3",="$130M",="Undisclosed",
="Erez Capital",="https://finder.startupnationcentral.org/investor_page/erez-capital",="VC and Private Equity",="",="3",="2",="$10M",="50K - 1M",
="Exiteam Capital Partners",="https://finder.startupnationcentral.org/investor_page/exiteam-capital-partners",="Equity Crowdfunding",="",="0",="0",="",="1M - 2.5M",
="ExitValley",="https://finder.startupnationcentral.org/investor_page/exitvalley",="Equity Crowdfunding",="",="84",="8",="",="200K - 2M",
="Extantia Capital",="https://finder.startupnationcentral.org/investor_page/extantia-capital",="VC and Private Equity",="",="4",="1",="$107.36M",="1M - 4.2M",
="Eyal Waldman",="https://finder.startupnationcentral.org/investor_page/eyal-waldman",="Angel",="",="18",="5",="",="Undisclosed",
="F2 Venture Capital",="https://finder.startupnationcentral.org/investor_page/f2-venture-capital",="VC and Private Equity",="",="62",="10",="$500M",="100K - 6M",
="Fearless DTC Growth Fund",="https://finder.startupnationcentral.org/investor_page/fearless-dtc-growth-fund",="VC and Private Equity",="",="0",="0",="",="150K - 350K",
="FIMI Opportunity Funds",="https://finder.startupnationcentral.org/investor_page/fimi-opportunity-funds",="VC and Private Equity",="",="11",="0",="$7B",="Undisclosed",
="FinTLV Ventures",="https://finder.startupnationcentral.org/investor_page/fintlv",="VC and Private Equity",="",="18",="4",="$500M",="500K - 150M",
="Firstime VC",="https://finder.startupnationcentral.org/investor_page/firstime",="VC and Private Equity",="",="64",="2",="$200M",="2M - 8M",
="Flint Capital",="https://finder.startupnationcentral.org/investor_page/flint-capital",="VC and Private Equity",="",="48",="8",="$370M",="500K - 5M",
="FLORA Ventures",="https://finder.startupnationcentral.org/investor_page/flora-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Follow[The]Seed",="https://finder.startupnationcentral.org/investor_page/follow-the-seed",="VC and Private Equity",="",="6",="0",="$200M",="500K - 2M",
="Fortissimo Capital",="https://finder.startupnationcentral.org/investor_page/fortissimo-capital",="VC and Private Equity",="",="36",="4",="$2.7B",="5M - 150M",
="Francisco Partners",="https://finder.startupnationcentral.org/investor_page/francisco-partners",="VC and Private Equity",="",="5",="0",="$45B",="Undisclosed",
="Fresh Fund",="https://finder.startupnationcentral.org/investor_page/fresh-fund",="VC and Private Equity",="",="49",="11",="$70M",="250K - 1M",
="Fresh Start",="https://finder.startupnationcentral.org/investor_page/fresh-start",="Incubator",="",="12",="3",="",="410K - 2M",
="Future Energy Ventures",="https://finder.startupnationcentral.org/investor_page/innogy-innovation-hub",="VC and Private Equity",="",="20",="2",="$350M",="1M - 10M",
="Gefen Capital",="https://finder.startupnationcentral.org/investor_page/gefen-capital",="VC and Private Equity",="",="37",="4",="",="1M - 3M",
="General Catalyst",="https://finder.startupnationcentral.org/investor_page/general-catalyst",="VC and Private Equity",="",="36",="6",="$39B",="Undisclosed",
="Gigi Levy-Weiss",="https://finder.startupnationcentral.org/investor_page/gigi-levy-weiss",="Angel",="",="43",="2",="",="50K - 250K",
="GiTV (Global Innovation Technology Ventures)",="https://finder.startupnationcentral.org/investor_page/gitv-global-innovation-technology-ventures",="VC and Private Equity",="",="10",="1",="",="Undisclosed",
="Glilot Capital Partners",="https://finder.startupnationcentral.org/investor_page/glilot-capital-partners",="VC and Private Equity",="",="102",="20",="$700M",="5M - 20M",
="GoAhead Ventures",="https://finder.startupnationcentral.org/investor_page/goahead-ventures",="VC and Private Equity",="",="19",="3",="$112M",="200K - 1M",
="Goldbell Investments",="https://finder.startupnationcentral.org/investor_page/goldbell-investments",="Corporate VC",="",="10",="1",="",="Undisclosed",
="Good Company VC",="https://finder.startupnationcentral.org/investor_page/good-company-vc",="VC and Private Equity",="",="26",="6",="",="Undisclosed",
="Google AI Startup Fund",="https://finder.startupnationcentral.org/investor_page/google-ai-startup-fund",="Grant Provider",="",="0",="0",="$4M",="Undisclosed",
="Gravity Climate Fund",="https://finder.startupnationcentral.org/investor_page/gravity-climate-fund",="VC and Private Equity",="",="5",="5",="",="300K - 1.5M",
="GreatPoint Ventures",="https://finder.startupnationcentral.org/investor_page/greatpoint-ventures",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Greenfield Partners",="https://finder.startupnationcentral.org/investor_page/greenfield-partners",="VC and Private Equity",="",="32",="9",="$1B",="Undisclosed",
="Greylock",="https://finder.startupnationcentral.org/investor_page/greylock",="VC and Private Equity",="",="53",="4",="",="Undisclosed",
="Ground Up Ventures",="https://finder.startupnationcentral.org/investor_page/ground-up-ventures",="VC and Private Equity",="",="16",="4",="",="250K - 500K",
="Group 11",="https://finder.startupnationcentral.org/investor_page/group-11",="VC and Private Equity",="",="56",="6",="",="5M - 20M",
="Grove Ventures",="https://finder.startupnationcentral.org/investor_page/grove-ventures",="VC and Private Equity",="",="66",="10",="$500M",="500K - 5M",
="Guangzhou Sino-Israel Biotech Investment Fund (GIBF)",="https://finder.startupnationcentral.org/investor_page/guangzhou-sino-israel-biotech-investment-fund-gibf",="VC and Private Equity",="",="6",="1",="$300M",="5M - 20M",
="Hamilton Lane",="https://finder.startupnationcentral.org/investor_page/hamilton-lane",="VC and Private Equity",="",="13",="2",="$901B",="Undisclosed",
="Hearst Ventures",="https://finder.startupnationcentral.org/investor_page/hearst-ventures",="Corporate VC",="",="15",="2",="$1B",="2M - 10M",
="Hetz Ventures",="https://finder.startupnationcentral.org/investor_page/hetz-ventures",="VC and Private Equity",="",="66",="16",="$282M",="1M - 5M",
="Horizon Capital",="https://finder.startupnationcentral.org/investor_page/horizon-capital-1",="VC and Private Equity",="",="0",="0",="",="500K - 3M",
