Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Medicxi",="https://finder.startupnationcentral.org/investor_page/medicxi",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Medital",="https://finder.startupnationcentral.org/investor_page/medital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Melini Capital",="https://finder.startupnationcentral.org/investor_page/melini-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MENA Technology Fund",="https://finder.startupnationcentral.org/investor_page/mena-technology-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Mendham Investment Group",="https://finder.startupnationcentral.org/investor_page/mendham-investment-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Mercato Partners",="https://finder.startupnationcentral.org/investor_page/mercato-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Mercer Street Global Opportunity Fund",="https://finder.startupnationcentral.org/investor_page/mercer-street-global-opportunity-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Mercura Capital",="https://finder.startupnationcentral.org/investor_page/mercura-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Merieux Developpement",="https://finder.startupnationcentral.org/investor_page/merieux-developpement",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Merieux Equity Partners",="https://finder.startupnationcentral.org/investor_page/merieux-equity-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Mertor Ventures",="https://finder.startupnationcentral.org/investor_page/mertor-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Mesco",="https://finder.startupnationcentral.org/investor_page/mesco",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Metaplanet",="https://finder.startupnationcentral.org/investor_page/metaplanet",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MetaStable Capital",="https://finder.startupnationcentral.org/investor_page/metastable-capital-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MetaStable Capital",="https://finder.startupnationcentral.org/investor_page/metastable-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
