Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Bolt by QED",="https://finder.startupnationcentral.org/investor_page/bolt-by-qed",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bolt Ventures",="https://finder.startupnationcentral.org/investor_page/bolt-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Boltendahl International Partners",="https://finder.startupnationcentral.org/investor_page/boltendahl-international-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Boston Millenia Partners",="https://finder.startupnationcentral.org/investor_page/boston-millenia-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Boston Seed Capital",="https://finder.startupnationcentral.org/investor_page/boston-seed-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Boundary Holding",="https://finder.startupnationcentral.org/investor_page/boundary-holding",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Boyu Capital",="https://finder.startupnationcentral.org/investor_page/boyu-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BPC",="https://finder.startupnationcentral.org/investor_page/bpc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="bpd Partners a. s.",="https://finder.startupnationcentral.org/investor_page/bpd-partners-a-s",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Breakthrough Energy Ventures",="https://finder.startupnationcentral.org/investor_page/breakthrough-energy-ventures",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Breega",="https://finder.startupnationcentral.org/investor_page/breega",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Breslau Capital Partners",="https://finder.startupnationcentral.org/investor_page/breslau-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Breyer Capital",="https://finder.startupnationcentral.org/investor_page/breyer-capital",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Brick & Mortar Ventures",="https://finder.startupnationcentral.org/investor_page/brick-mortar-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="BRICOLAGE",="https://finder.startupnationcentral.org/investor_page/bricolage",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bridge Capital Fund",="https://finder.startupnationcentral.org/investor_page/bridge-capital-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="BrightEdge",="https://finder.startupnationcentral.org/investor_page/brightedge",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Brighteye Ventures",="https://finder.startupnationcentral.org/investor_page/brighteye-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Broad Peak Investment",="https://finder.startupnationcentral.org/investor_page/broad-peak-investment",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Btomorrow Ventures",="https://finder.startupnationcentral.org/investor_page/btomorrow-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Bullet Ventures",="https://finder.startupnationcentral.org/investor_page/bullet-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Bunge Ventures",="https://finder.startupnationcentral.org/investor_page/bunge-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Buran Venture Capital",="https://finder.startupnationcentral.org/investor_page/buran-venture-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Burrill & Company",="https://finder.startupnationcentral.org/investor_page/burrill-company",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="BVF Partners",="https://finder.startupnationcentral.org/investor_page/bvf-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="BVR Fund",="https://finder.startupnationcentral.org/investor_page/bvr-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="C-Mer Eye Holdings",="https://finder.startupnationcentral.org/investor_page/c-mer-eye-holdings",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="C. Entrepreneurs",="https://finder.startupnationcentral.org/investor_page/c-entrepreneurs",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="C5 Capital",="https://finder.startupnationcentral.org/investor_page/c5-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
