Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="AO Invest",="https://finder.startupnationcentral.org/investor_page/ao-invest",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="AP Ventures",="https://finder.startupnationcentral.org/investor_page/ap-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Aperture Venture Partners",="https://finder.startupnationcentral.org/investor_page/aperture-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Applied BioSciences",="https://finder.startupnationcentral.org/investor_page/applied-biosciences",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Apropos IT Ventures",="https://finder.startupnationcentral.org/investor_page/apropos-it-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Aqua-Spark",="https://finder.startupnationcentral.org/investor_page/aqua-spark",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Arancia International",="https://finder.startupnationcentral.org/investor_page/arancia-international",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Arbor Waypoint Select Fund",="https://finder.startupnationcentral.org/investor_page/arbor-waypoint-select-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Arboretum Ventures",="https://finder.startupnationcentral.org/investor_page/arboretum-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Arc Investors",="https://finder.startupnationcentral.org/investor_page/arc-investors",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Arc Ventures",="https://finder.startupnationcentral.org/investor_page/arc-ventures",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Arcadian Capital Management",="https://finder.startupnationcentral.org/investor_page/arcadian-capital-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Arcadian Fund",="https://finder.startupnationcentral.org/investor_page/arcadian-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Arcadini",="https://finder.startupnationcentral.org/investor_page/arcadini",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ARCH Venture Partners",="https://finder.startupnationcentral.org/investor_page/arch-venture-partners",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Ares Management Corporation",="https://finder.startupnationcentral.org/investor_page/ares-management-corporation",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Argonaut Partners",="https://finder.startupnationcentral.org/investor_page/argonaut-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Argonaut Ventures",="https://finder.startupnationcentral.org/investor_page/argonaut-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Argoquest",="https://finder.startupnationcentral.org/investor_page/argoquest",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Arix Bioscience",="https://finder.startupnationcentral.org/investor_page/arix-bioscience",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Armada Capital",="https://finder.startupnationcentral.org/investor_page/armada-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Armada Investment AG",="https://finder.startupnationcentral.org/investor_page/armada-investment-ag",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Armat Group",="https://finder.startupnationcentral.org/investor_page/armat-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Arrington XRP Capital",="https://finder.startupnationcentral.org/investor_page/arrington-xrp-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Arrowroot Capital",="https://finder.startupnationcentral.org/investor_page/arrowroot-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
