Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Ginossar Ventures",="https://finder.startupnationcentral.org/investor_page/ginossar-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Giscard Trading Co.SA",="https://finder.startupnationcentral.org/investor_page/giscard-trading-co-sa",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Giza Venture Capital",="https://finder.startupnationcentral.org/investor_page/giza-venture-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GJG Life Sciences",="https://finder.startupnationcentral.org/investor_page/gjg-life-sciences",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Glide Healthcare",="https://finder.startupnationcentral.org/investor_page/glide-healthcare",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Global Blockchain Ventures (GBV)",="https://finder.startupnationcentral.org/investor_page/global-blockchain-ventures-gbv",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Global Catalyst Partners",="https://finder.startupnationcentral.org/investor_page/global-catalyst-partners",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Global Emerging Markets Group (GEM)",="https://finder.startupnationcentral.org/investor_page/global-emerging-markets-group-gem",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Global IoT Technology Ventures",="https://finder.startupnationcentral.org/investor_page/global-iot-technology-ventures-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Global Support Capital",="https://finder.startupnationcentral.org/investor_page/global-support-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Globescom",="https://finder.startupnationcentral.org/investor_page/globescom",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Globis Capital Partners",="https://finder.startupnationcentral.org/investor_page/globis-capital-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="GLP",="https://finder.startupnationcentral.org/investor_page/glp",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GMG Capital Partners",="https://finder.startupnationcentral.org/investor_page/gmg-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Gntventure",="https://finder.startupnationcentral.org/investor_page/gntventure",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Go Capital",="https://finder.startupnationcentral.org/investor_page/go-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Go4it",="https://finder.startupnationcentral.org/investor_page/go4it",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Goal Ventures",="https://finder.startupnationcentral.org/investor_page/goal-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Golan Ventures",="https://finder.startupnationcentral.org/investor_page/golan-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Golden Arie Capital",="https://finder.startupnationcentral.org/investor_page/golden-arie-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Golden Energy Global Investment",="https://finder.startupnationcentral.org/investor_page/golden-energy-global-investment",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Golden Palm Investments",="https://finder.startupnationcentral.org/investor_page/golden-palm-investments",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Golden Seeds",="https://finder.startupnationcentral.org/investor_page/golden-seeds",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GoldenSand Capital",="https://finder.startupnationcentral.org/investor_page/goldensand-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Goldrock Capital",="https://finder.startupnationcentral.org/investor_page/goldrock-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Goldstone Investment Limited",="https://finder.startupnationcentral.org/investor_page/goldstone-investment-limited",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Golub Growth",="https://finder.startupnationcentral.org/investor_page/golub-growth",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Good Energies",="https://finder.startupnationcentral.org/investor_page/good-energies",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Good Friends",="https://finder.startupnationcentral.org/investor_page/good-friends",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Good Seed Ventures",="https://finder.startupnationcentral.org/investor_page/good-seed-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Good Startup",="https://finder.startupnationcentral.org/investor_page/good-startup",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Gooday Investment Company",="https://finder.startupnationcentral.org/investor_page/gooday-investment-company",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GoodPaper Ventures",="https://finder.startupnationcentral.org/investor_page/goodpaper-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Goodwater Capital",="https://finder.startupnationcentral.org/investor_page/goodwater-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Goren Holm Ventures (GHV)",="https://finder.startupnationcentral.org/investor_page/goren-holm-ventures-ghv",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Governing Dynamics",="https://finder.startupnationcentral.org/investor_page/governing-dynamics",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Gramercy Ventures",="https://finder.startupnationcentral.org/investor_page/gramercy-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Granite Hill Capital Partners",="https://finder.startupnationcentral.org/investor_page/granite-hill-capital-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Granite Ventures",="https://finder.startupnationcentral.org/investor_page/granite-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Granot Group",="https://finder.startupnationcentral.org/investor_page/granot-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Graph Ventures",="https://finder.startupnationcentral.org/investor_page/graph-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Grayhawk Capital",="https://finder.startupnationcentral.org/investor_page/grayhawk-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Grazia Equity",="https://finder.startupnationcentral.org/investor_page/grazia-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Great Hill Partners",="https://finder.startupnationcentral.org/investor_page/great-hill-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Great Oaks Venture Fund",="https://finder.startupnationcentral.org/investor_page/great-oaks-venture-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Great Point Partners",="https://finder.startupnationcentral.org/investor_page/great-point-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Green Circle Foodtech Ventures",="https://finder.startupnationcentral.org/investor_page/green-circle-foodtech-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Green Park & Golf Ventures",="https://finder.startupnationcentral.org/investor_page/green-park-golf-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Green Spring Associates",="https://finder.startupnationcentral.org/investor_page/-green-spring-associates",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Greenhouse Capital Partners",="https://finder.startupnationcentral.org/investor_page/greenhouse-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
