Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="UnityPoint Health Ventures",="https://finder.startupnationcentral.org/investor_page/unitypoint-health-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Unknown Group",="https://finder.startupnationcentral.org/investor_page/unknown-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Untitled Investments",="https://finder.startupnationcentral.org/investor_page/untitled-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Upheaval Investments",="https://finder.startupnationcentral.org/investor_page/upheaval-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="UpVentures Capital",="https://finder.startupnationcentral.org/investor_page/upventures-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Urban Innovation Fund",="https://finder.startupnationcentral.org/investor_page/urban-innovation-fund",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="USVP",="https://finder.startupnationcentral.org/investor_page/usvp",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="V Partners",="https://finder.startupnationcentral.org/investor_page/v-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="V3ntures",="https://finder.startupnationcentral.org/investor_page/v3ntures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Vaal Investment Partners",="https://finder.startupnationcentral.org/investor_page/vaal-investment-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Vaizra Investments",="https://finder.startupnationcentral.org/investor_page/vaizra-investments-2",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Vala Capital",="https://finder.startupnationcentral.org/investor_page/vala-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Valor Capital Group",="https://finder.startupnationcentral.org/investor_page/valor-capital-group",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Value Management AG",="https://finder.startupnationcentral.org/investor_page/value-management-ag",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ValueShine Ventures",="https://finder.startupnationcentral.org/investor_page/valueshine-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Vandewater Capital Holdings",="https://finder.startupnationcentral.org/investor_page/vandewater-capital-holdings",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="VantagePoint Capital Partners",="https://finder.startupnationcentral.org/investor_page/vantagepoint-capital-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Vast Ventures",="https://finder.startupnationcentral.org/investor_page/vast-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Veecy",="https://finder.startupnationcentral.org/investor_page/veecy",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="VegInvest",="https://finder.startupnationcentral.org/investor_page/veginvest",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
