Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Spring Ventures",="https://finder.startupnationcentral.org/investor_page/spring-ventures",="VC and Private Equity",="",="18",="1",="",="Undisclosed",
="SpringHill Venture Partners",="https://finder.startupnationcentral.org/investor_page/springhill-venture-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Star Ventures",="https://finder.startupnationcentral.org/investor_page/star-ventures",="VC and Private Equity",="",="31",="0",="$1B",="Undisclosed",
="State of Mind Ventures",="https://finder.startupnationcentral.org/investor_page/state-of-mind-ventures",="VC and Private Equity",="",="47",="3",="$400M",="1M - 4M",
="Summus Venture Capital",="https://finder.startupnationcentral.org/investor_page/summus-venture-capital",="VC and Private Equity",="",="20",="0",="",="Undisclosed",
="Sunvest Capital Partners",="https://finder.startupnationcentral.org/investor_page/sunvest-capital-partners",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Supersonic Capital",="https://finder.startupnationcentral.org/investor_page/supersonic-capital",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="SureTech Investments",="https://finder.startupnationcentral.org/investor_page/sure-tech-r-d-partnership",="VC and Private Equity",="",="6",="2",="$8M",="1M - 4M",
="Sweetwood Ventures",="https://finder.startupnationcentral.org/investor_page/sweetwood-ventures",="VC and Private Equity",="",="5",="1",="$230M",="Undisclosed",
="Symbol",="https://finder.startupnationcentral.org/investor_page/symbol",="VC and Private Equity",="",="9",="1",="$50M",="500K - 3.5M",
="Synaptech Capital",="https://finder.startupnationcentral.org/investor_page/synaptech-capital",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="TA Ventures",="https://finder.startupnationcentral.org/investor_page/ta-ventures-1",="VC and Private Equity",="",="6",="0",="",="100K - 500K",
="Takwin",="https://finder.startupnationcentral.org/investor_page/takwin-labs1",="VC and Private Equity",="",="13",="2",="",="Undisclosed",
="Tamares Group",="https://finder.startupnationcentral.org/investor_page/tamares-group",="VC and Private Equity",="",="1",="0",="$3B",="Undisclosed",
="TechnoPlus Ventures",="https://finder.startupnationcentral.org/investor_page/technoplus-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="TelAviv Venture Partners",="https://finder.startupnationcentral.org/investor_page/dfj-telaviv-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Tenaya Capital",="https://finder.startupnationcentral.org/investor_page/tenaya-capital",="VC and Private Equity",="",="22",="0",="$1.5B",="5M - 20M",
="Teramips Technologies",="https://finder.startupnationcentral.org/investor_page/teramips-technologies",="VC and Private Equity",="",="15",="1",="",="Undisclosed",
="Terra Venture Partners",="https://finder.startupnationcentral.org/investor_page/terra-venture-partners",="VC and Private Equity",="",="47",="1",="$90M",="300K - 2M",
="TerraTech Ventures",="https://finder.startupnationcentral.org/investor_page/terratech-ventures",="VC and Private Equity",="",="0",="0",="",="1M - 4M",
