Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Speedinvest",="https://finder.startupnationcentral.org/investor_page/speedinvest",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Spero Ventures",="https://finder.startupnationcentral.org/investor_page/spero-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="spike ventures",="https://finder.startupnationcentral.org/investor_page/spike-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Splunk Ventures",="https://finder.startupnationcentral.org/investor_page/splunk-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Spring Creek",="https://finder.startupnationcentral.org/investor_page/spring-creek",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Spring Lake Equity Partners",="https://finder.startupnationcentral.org/investor_page/spring-lake-equity-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Springbank",="https://finder.startupnationcentral.org/investor_page/springbank",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Springfield Capital Management",="https://finder.startupnationcentral.org/investor_page/springfield-capital-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Springfield Investments",="https://finder.startupnationcentral.org/investor_page/springfield-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="SpringRock Ventures",="https://finder.startupnationcentral.org/investor_page/springrock-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Spruce Capital Partners",="https://finder.startupnationcentral.org/investor_page/spruce-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="SR Alternative Credit",="https://finder.startupnationcentral.org/investor_page/sr-alternative-credit",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="SRK Management Company",="https://finder.startupnationcentral.org/investor_page/srk-management-company",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stadia Ventures",="https://finder.startupnationcentral.org/investor_page/stadia-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stage Venture Partners",="https://finder.startupnationcentral.org/investor_page/stage-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Stake Capital",="https://finder.startupnationcentral.org/investor_page/stake-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Standford University",="https://finder.startupnationcentral.org/investor_page/standford-university",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Starr Ventures",="https://finder.startupnationcentral.org/investor_page/starr-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="StartX (Stanford-StartX Fund)",="https://finder.startupnationcentral.org/investor_page/startx-stanford-startx-fund",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="StarVest Partners",="https://finder.startupnationcentral.org/investor_page/starvest-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="State Farm Ventures",="https://finder.startupnationcentral.org/investor_page/state-farm-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Steadfast Capital",="https://finder.startupnationcentral.org/investor_page/steadfast-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stereo Capital",="https://finder.startupnationcentral.org/investor_page/stereo-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stolero Group",="https://finder.startupnationcentral.org/investor_page/stolero-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stone Ventures",="https://finder.startupnationcentral.org/investor_page/stone-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Stonebridge Partners",="https://finder.startupnationcentral.org/investor_page/stonebridge-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stonecourt Capital",="https://finder.startupnationcentral.org/investor_page/stonecourt-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="StoneMill Ventures",="https://finder.startupnationcentral.org/investor_page/stonemill-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Story Ventures",="https://finder.startupnationcentral.org/investor_page/story-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Strategic Cyber Ventures",="https://finder.startupnationcentral.org/investor_page/strategic-cyber-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Strategic Investors",="https://finder.startupnationcentral.org/investor_page/strategic-investors",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Stray Dog Capital",="https://finder.startupnationcentral.org/investor_page/stray-dog-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Streamlined Ventures",="https://finder.startupnationcentral.org/investor_page/streamlined-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Styx",="https://finder.startupnationcentral.org/investor_page/styx",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sugar Capital",="https://finder.startupnationcentral.org/investor_page/sugar-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Summit Partners",="https://finder.startupnationcentral.org/investor_page/summit-partners",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Summit Peak Investments",="https://finder.startupnationcentral.org/investor_page/summit-peak-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sunrise Capital Partners",="https://finder.startupnationcentral.org/investor_page/sunrise-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Super Ventures",="https://finder.startupnationcentral.org/investor_page/super-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Supermoon Capital",="https://finder.startupnationcentral.org/investor_page/supermoon-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Supernode Ventures",="https://finder.startupnationcentral.org/investor_page/supernode-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Supernova Invest",="https://finder.startupnationcentral.org/investor_page/supernova-invest",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="Sure Ventures",="https://finder.startupnationcentral.org/investor_page/sure-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Surveyor Capital",="https://finder.startupnationcentral.org/investor_page/surveyor-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Susa VENTURES",="https://finder.startupnationcentral.org/investor_page/susa-ventures",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Susquehanna International Group",="https://finder.startupnationcentral.org/investor_page/susquehanna-international-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Sustainable Food Ventures",="https://finder.startupnationcentral.org/investor_page/sustainable-food-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Susten",="https://finder.startupnationcentral.org/investor_page/susten",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="SuZhou",="https://finder.startupnationcentral.org/investor_page/suzhou",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="SV Health Investors",="https://finder.startupnationcentral.org/investor_page/sv-health-investors",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
