Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Ponderosa Ventures",="https://finder.startupnationcentral.org/investor_page/ponderosa-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Popular Line Medical",="https://finder.startupnationcentral.org/investor_page/popular-line-medical",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Portage Ventures",="https://finder.startupnationcentral.org/investor_page/portage-ventures",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Portland Seed Fund",="https://finder.startupnationcentral.org/investor_page/portland-seed-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Portview Communications Partners",="https://finder.startupnationcentral.org/investor_page/portview-communications-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Power Capital Venture",="https://finder.startupnationcentral.org/investor_page/power-capital-venture",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Powerhouse Ventures",="https://finder.startupnationcentral.org/investor_page/powerhouse-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="PowerPlant Ventures",="https://finder.startupnationcentral.org/investor_page/powerplant-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Praesidium",="https://finder.startupnationcentral.org/investor_page/praesidium",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Prairie Ventures",="https://finder.startupnationcentral.org/investor_page/prairie-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Pras Holdings",="https://finder.startupnationcentral.org/investor_page/pras-holdings",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Precede Technologies",="https://finder.startupnationcentral.org/investor_page/precede-technologies",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="PreceptorPreceptor Capital",="https://finder.startupnationcentral.org/investor_page/preceptorpreceptor-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Precision Capital",="https://finder.startupnationcentral.org/investor_page/precision-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Precursor Ventures",="https://finder.startupnationcentral.org/investor_page/precursor-ventures",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Prelude Ventures",="https://finder.startupnationcentral.org/investor_page/prelude-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Presence Capital",="https://finder.startupnationcentral.org/investor_page/presence-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Presight Capital",="https://finder.startupnationcentral.org/investor_page/presight-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Prim Investments",="https://finder.startupnationcentral.org/investor_page/prim-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Primetime Partners",="https://finder.startupnationcentral.org/investor_page/primetime-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Primitive Ventures",="https://finder.startupnationcentral.org/investor_page/primitive-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Princeville Capital",="https://finder.startupnationcentral.org/investor_page/princeville-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ProDelta",="https://finder.startupnationcentral.org/investor_page/prodelta",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Prolific Venture Capital",="https://finder.startupnationcentral.org/investor_page/prolific-venture-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Promus Ventures",="https://finder.startupnationcentral.org/investor_page/promus-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Proof",="https://finder.startupnationcentral.org/investor_page/proof",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Propel Venture Partners",="https://finder.startupnationcentral.org/investor_page/propel-venture-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Propeller",="https://finder.startupnationcentral.org/investor_page/propeller",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Proptech VC",="https://finder.startupnationcentral.org/investor_page/proptech-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Psymed Ventures",="https://finder.startupnationcentral.org/investor_page/psymed-ventures",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Pura Vida Investments",="https://finder.startupnationcentral.org/investor_page/pura-vida-investments",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="PureTerra Ventures",="https://finder.startupnationcentral.org/investor_page/pureterra-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Q Venture Partners",="https://finder.startupnationcentral.org/investor_page/q-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="QBN Capital",="https://finder.startupnationcentral.org/investor_page/qbn-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="QED Investors",="https://finder.startupnationcentral.org/investor_page/qed-investors",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="QP Ventures",="https://finder.startupnationcentral.org/investor_page/qp-ventures",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
