Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Mobile Internet Capital",="https://finder.startupnationcentral.org/investor_page/mobile-internet-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Moderne Ventures",="https://finder.startupnationcentral.org/investor_page/moderne-ventures",="VC and Private Equity",="",="1",="0",="$230M",="Undisclosed",
="Mofet Technology Fund",="https://finder.startupnationcentral.org/investor_page/mofet-technology-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Mofet Venture Capital",="https://finder.startupnationcentral.org/investor_page/mofet-venture-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Momenta Ventures",="https://finder.startupnationcentral.org/investor_page/momenta-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Momentum Venture Management",="https://finder.startupnationcentral.org/investor_page/momentum-venture-management",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Moneta Seeds",="https://finder.startupnationcentral.org/investor_page/moneta-seeds-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Monex Group",="https://finder.startupnationcentral.org/investor_page/monex-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Monograph Capital",="https://finder.startupnationcentral.org/investor_page/monograph-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Montage Ventures",="https://finder.startupnationcentral.org/investor_page/montage-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Moore Capital",="https://finder.startupnationcentral.org/investor_page/moore-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Moore Strategic Ventures",="https://finder.startupnationcentral.org/investor_page/moore-strategic-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Morado Ventures",="https://finder.startupnationcentral.org/investor_page/morado-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Morgan Creek Digital",="https://finder.startupnationcentral.org/investor_page/morgan-creek-digital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Morgan Stanley Venture Partners",="https://finder.startupnationcentral.org/investor_page/morgan-stanley-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Morgenthaler Ventures",="https://finder.startupnationcentral.org/investor_page/morgenthaler-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Morningside Venture Investments",="https://finder.startupnationcentral.org/investor_page/morningside-venture-investments",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Morrag  Investments",="https://finder.startupnationcentral.org/investor_page/morrag-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Mosaic Ventures",="https://finder.startupnationcentral.org/investor_page/mosaic-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Motion Ventures",="https://finder.startupnationcentral.org/investor_page/motion-ventures",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Motivate Venture Capital",="https://finder.startupnationcentral.org/investor_page/motivate-venture-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Mouro Capital",="https://finder.startupnationcentral.org/investor_page/mouro-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Mouru Capital",="https://finder.startupnationcentral.org/investor_page/mouru-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Movac",="https://finder.startupnationcentral.org/investor_page/movac",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MPM Capital",="https://finder.startupnationcentral.org/investor_page/mpm-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="MSA Capital",="https://finder.startupnationcentral.org/investor_page/msa-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MSD Capital",="https://finder.startupnationcentral.org/investor_page/msd-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="MSR Capital",="https://finder.startupnationcentral.org/investor_page/msr-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="MState",="https://finder.startupnationcentral.org/investor_page/mstate",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MTIP",="https://finder.startupnationcentral.org/investor_page/mtip",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MTIP AG",="https://finder.startupnationcentral.org/investor_page/mtip-ag",="VC and Private Equity",="",="5",="2",="",="Undisclosed",
="MTT Ventures",="https://finder.startupnationcentral.org/investor_page/mtt-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Multi-Galaxy",="https://finder.startupnationcentral.org/investor_page/multi-galaxy",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Multicoin Capital",="https://finder.startupnationcentral.org/investor_page/multicoin-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Mundi Ventures",="https://finder.startupnationcentral.org/investor_page/mundi-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Murata Manufacturing",="https://finder.startupnationcentral.org/investor_page/murata-manufacturing",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="MXV Capital",="https://finder.startupnationcentral.org/investor_page/mxv-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Myeloma Investment Fund",="https://finder.startupnationcentral.org/investor_page/myeloma-investment-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="MZ Growth Capital Partners",="https://finder.startupnationcentral.org/investor_page/mz-growth-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Naor Group",="https://finder.startupnationcentral.org/investor_page/naor-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Naska Medical",="https://finder.startupnationcentral.org/investor_page/naska-medical",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Naspers",="https://finder.startupnationcentral.org/investor_page/naspers",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Nauta Capital",="https://finder.startupnationcentral.org/investor_page/nauta-capital",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Navitas Capital",="https://finder.startupnationcentral.org/investor_page/navitas-capital",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="NBM Ventures",="https://finder.startupnationcentral.org/investor_page/nbm-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="NCL Technology Ventures",="https://finder.startupnationcentral.org/investor_page/ncl-technology-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NED Ventures",="https://finder.startupnationcentral.org/investor_page/ned-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NEO Global Capital",="https://finder.startupnationcentral.org/investor_page/neo-global-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Neo Ideas Group",="https://finder.startupnationcentral.org/investor_page/neo-ideas-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="NEO Ventures",="https://finder.startupnationcentral.org/investor_page/neo-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
