Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
"Hercules Capital, Inc.",="https://finder.startupnationcentral.org/investor_page/hercules-capital-inc",="VC and Private Equity",="",="5",="1",="",="Undisclosed",
="ICON Community Fund",="https://finder.startupnationcentral.org/investor_page/icon-community-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ICON Continuity Fund",="https://finder.startupnationcentral.org/investor_page/icon-continuity-fund",="VC and Private Equity",="",="3",="2",="",="Undisclosed",
="ICV Partners",="https://finder.startupnationcentral.org/investor_page/icv-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ID Capital Pte. Ltd.",="https://finder.startupnationcentral.org/investor_page/id-capital-pte-ltd",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="IDInvest Partners",="https://finder.startupnationcentral.org/investor_page/idinvest-partners-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="iGlobe Partners",="https://finder.startupnationcentral.org/investor_page/iglobe-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="IGNIA",="https://finder.startupnationcentral.org/investor_page/ignia",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="igniteXL Ventures",="https://finder.startupnationcentral.org/investor_page/ignitexl-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ilan holdings",="https://finder.startupnationcentral.org/investor_page/ilan-holdings",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Imagination Capital",="https://finder.startupnationcentral.org/investor_page/imagination-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
