Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Pantheon Ventures",="https://finder.startupnationcentral.org/investor_page/pantheon-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Paradiso Ventures",="https://finder.startupnationcentral.org/investor_page/paradiso-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ParaFi Capital",="https://finder.startupnationcentral.org/investor_page/parafi-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Pareto Holdings",="https://finder.startupnationcentral.org/investor_page/pareto-holdings",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Park Avenue Capital",="https://finder.startupnationcentral.org/investor_page/park-avenue-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Partam Hightech",="https://finder.startupnationcentral.org/investor_page/partam-hightech",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Partam Tel A Viv",="https://finder.startupnationcentral.org/investor_page/partam-tel-a-viv",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Parthenon Capital Partners",="https://finder.startupnationcentral.org/investor_page/parthenon-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pasaca Capital",="https://finder.startupnationcentral.org/investor_page/pasaca-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pavilion Capital",="https://finder.startupnationcentral.org/investor_page/pavilion-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Paz  A.I Investments and construction",="https://finder.startupnationcentral.org/investor_page/paz-a-i-investments-and-construction",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Pegasus Capital",="https://finder.startupnationcentral.org/investor_page/pegasus-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Pegasus Tech Ventures",="https://finder.startupnationcentral.org/investor_page/pegasus-tech-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Peled Ventures",="https://finder.startupnationcentral.org/investor_page/peled-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pelham Capital Investments",="https://finder.startupnationcentral.org/investor_page/pelham-capital-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pelion Venture Partners",="https://finder.startupnationcentral.org/investor_page/pelion-venture-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Pembani Remgro Infrastructure Managers",="https://finder.startupnationcentral.org/investor_page/pembani-remgro-infrastructure-managers",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Perceptive Advisors",="https://finder.startupnationcentral.org/investor_page/perceptive-advisors",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Performance Equity Management",="https://finder.startupnationcentral.org/investor_page/performance-equity-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Perot Jain",="https://finder.startupnationcentral.org/investor_page/perot-jain",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Perpetual Investors",="https://finder.startupnationcentral.org/investor_page/perpetual-investors",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pharmes Innovations Limited",="https://finder.startupnationcentral.org/investor_page/pharmes-innovations-limited",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pharos Medical",="https://finder.startupnationcentral.org/investor_page/pharos-medical",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Phenomen Ventures",="https://finder.startupnationcentral.org/investor_page/phenomen-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Phi Square Holdings",="https://finder.startupnationcentral.org/investor_page/phi-square-holdings",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Phyto Partners",="https://finder.startupnationcentral.org/investor_page/phyto-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Pi Labs",="https://finder.startupnationcentral.org/investor_page/pi-labs",="VC and Private Equity",="",="5",="2",="",="Undisclosed",
="Picus Capital",="https://finder.startupnationcentral.org/investor_page/picus-capital",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Piedmont Venture Capital",="https://finder.startupnationcentral.org/investor_page/piedmont-venture-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Pillar VC",="https://finder.startupnationcentral.org/investor_page/pillar-vc",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Pilot Growth Equity",="https://finder.startupnationcentral.org/investor_page/pilot-growth-equity",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Pilot House Ventures",="https://finder.startupnationcentral.org/investor_page/pilot-house-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Pipeline Capital Partners",="https://finder.startupnationcentral.org/investor_page/pipeline-capital-partners",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Planet Capital",="https://finder.startupnationcentral.org/investor_page/planet-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Platinum Neurone Ventures (PNV)",="https://finder.startupnationcentral.org/investor_page/platinum-neurone-ventures-pnv",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Platinum Partners Value Arbitrage Fund L.P",="https://finder.startupnationcentral.org/investor_page/platinum-partners-value-arbitrage-fund-l-p",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Play Ventures",="https://finder.startupnationcentral.org/investor_page/play-ventures",="VC and Private Equity",="",="5",="2",="",="Undisclosed",
="Playfair Capital",="https://finder.startupnationcentral.org/investor_page/playfair-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Playground Global",="https://finder.startupnationcentral.org/investor_page/playground-global",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Plaza Ventures",="https://finder.startupnationcentral.org/investor_page/plaza-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="PLDT capital",="https://finder.startupnationcentral.org/investor_page/pldt-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="PLG Ventures",="https://finder.startupnationcentral.org/investor_page/plg-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="POD Holding",="https://finder.startupnationcentral.org/investor_page/pod-holding",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Polar Investments",="https://finder.startupnationcentral.org/investor_page/polar-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Polaris Partners",="https://finder.startupnationcentral.org/investor_page/polaris-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Poleris Energy Technology Holdings Ltd.",="https://finder.startupnationcentral.org/investor_page/poleris-energy-technology-holdings-ltd",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Polychain Capital",="https://finder.startupnationcentral.org/investor_page/polychain-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Polymorphic Capital",="https://finder.startupnationcentral.org/investor_page/polymorphic-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Polytech Ventures",="https://finder.startupnationcentral.org/investor_page/polytech-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="PolyTechnos Venture Partners",="https://finder.startupnationcentral.org/investor_page/polytechnos-venture-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
