Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Foxglove Capital",="https://finder.startupnationcentral.org/investor_page/foxglove-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FPI Innovation Fund",="https://finder.startupnationcentral.org/investor_page/fpi-innovation-fund",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Framework Ventures",="https://finder.startupnationcentral.org/investor_page/framework-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Fraser McCombs Capital",="https://finder.startupnationcentral.org/investor_page/fraser-mccombs-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Freepoint Commodities Investments",="https://finder.startupnationcentral.org/investor_page/freepoint-commodities-investments",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Frost Gamma Investment",="https://finder.startupnationcentral.org/investor_page/frost-gamma-investment",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="FS Capital",="https://finder.startupnationcentral.org/investor_page/fs-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FTVentures",="https://finder.startupnationcentral.org/investor_page/ftventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Fujitsu Ventures",="https://finder.startupnationcentral.org/investor_page/fujitsu-ventures",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Fulcrum Global Capital",="https://finder.startupnationcentral.org/investor_page/fulcrum-global-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Fulgur Ventures",="https://finder.startupnationcentral.org/investor_page/fulgur-ventures-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="funders factory",="https://finder.startupnationcentral.org/investor_page/funders-factory",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="FundersClub",="https://finder.startupnationcentral.org/investor_page/fundersclub",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="FundersGuild",="https://finder.startupnationcentral.org/investor_page/fundersguild",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="FundFire",="https://finder.startupnationcentral.org/investor_page/fundfire",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="FunFair Ventures",="https://finder.startupnationcentral.org/investor_page/funfair-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Future Food Fund",="https://finder.startupnationcentral.org/investor_page/future-food-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Future Foodways",="https://finder.startupnationcentral.org/investor_page/future-foodways",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Future Perfect Ventures",="https://finder.startupnationcentral.org/investor_page/future-perfect-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Futureal Group",="https://finder.startupnationcentral.org/investor_page/futureal-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
