Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Access Industries",="https://finder.startupnationcentral.org/investor_page/access-industries",="VC and Private Equity",="",="12",="0",="",="Undisclosed",
="Accomplice",="https://finder.startupnationcentral.org/investor_page/accomplice",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Adler Chomsky & Warsawasky",="https://finder.startupnationcentral.org/investor_page/adler-chomsky-warsawasky",="VC and Private Equity",="",="7",="0",="",="Undisclosed - 1M",
="Alkeon Capital Management",="https://finder.startupnationcentral.org/investor_page/alkeon-capital-management",="VC and Private Equity",="",="10",="1",="",="Undisclosed",
="Aquiline Technology Growth",="https://finder.startupnationcentral.org/investor_page/aquiline-technology-growth",="VC and Private Equity",="",="6",="0",="",="3M - 30M",
="Argonaut Private Equity",="https://finder.startupnationcentral.org/investor_page/argonaut-private-equity",="VC and Private Equity",="",="7",="0",="$2.5B",="15M - 100M",
="Array Ventures",="https://finder.startupnationcentral.org/investor_page/array-ventures",="VC and Private Equity",="",="6",="1",="$150M",="250K - 2M",
="Axess Ventures",="https://finder.startupnationcentral.org/investor_page/axess-ventures",="VC and Private Equity",="",="8",="0",="",="7.5K - 100M",
="Azure Capital Partners",="https://finder.startupnationcentral.org/investor_page/azure-capital-partners",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="B Capital",="https://finder.startupnationcentral.org/investor_page/b-capital",="VC and Private Equity",="",="4",="0",="$6B",="Undisclosed",
="Balderton Capital",="https://finder.startupnationcentral.org/investor_page/balderton-capital-1",="VC and Private Equity",="",="7",="1",="$1.3B",="Undisclosed",
="Bek Ventures",="https://finder.startupnationcentral.org/investor_page/bek-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Besadno Investment Group",="https://finder.startupnationcentral.org/investor_page/besadno-investment-group",="VC and Private Equity",="",="8",="3",="",="Undisclosed",
="BITKRAFT Esports Ventures",="https://finder.startupnationcentral.org/investor_page/bitkraft-esports-ventures",="VC and Private Equity",="",="6",="1",="$1.05B",="100K - 10M",
="Bits x Bites",="https://finder.startupnationcentral.org/investor_page/bits-x-bites-1",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="BlackRock",="https://finder.startupnationcentral.org/investor_page/blackrock-3",="VC and Private Equity",="",="16",="5",="$100.1B",="Undisclosed",
="BoxGroup",="https://finder.startupnationcentral.org/investor_page/boxgroup",="VC and Private Equity",="",="9",="1",="",="Undisclosed - 1M",
="Bright Capital",="https://finder.startupnationcentral.org/investor_page/bright-capital",="VC and Private Equity",="",="6",="0",="$225M",="Undisclosed",
="C4 Ventures",="https://finder.startupnationcentral.org/investor_page/c4-ventures",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Cathay Innovation",="https://finder.startupnationcentral.org/investor_page/cathay-innovation",="VC and Private Equity",="",="1",="0",="$15B",="5M - 40M",
="Cervin Ventures",="https://finder.startupnationcentral.org/investor_page/cervin-ventures",="VC and Private Equity",="",="8",="2",="",="Undisclosed",
="Cibus Fund (ADM Capital)",="https://finder.startupnationcentral.org/investor_page/cibus-fund-adm-capital",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Clay Capital",="https://finder.startupnationcentral.org/investor_page/clay-capital",="VC and Private Equity",="",="6",="2",="$145M",="Undisclosed",
="Clean Energy Ventures",="https://finder.startupnationcentral.org/investor_page/clean-energy-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Climate Innovation Capital",="https://finder.startupnationcentral.org/investor_page/climate-innovation-capital",="VC and Private Equity",="",="1",="0",="",="5M - 10M",
="Collaborative Fund",="https://finder.startupnationcentral.org/investor_page/collaborative-fund",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Commerce Ventures",="https://finder.startupnationcentral.org/investor_page/commerce-ventures",="VC and Private Equity",="",="10",="0",="$400M",="Undisclosed",
="Contour Venture Partners",="https://finder.startupnationcentral.org/investor_page/contour-venture-partners",="VC and Private Equity",="",="6",="2",="$42M",="Undisclosed",
="Correlation Ventures",="https://finder.startupnationcentral.org/investor_page/correlation-ventures",="VC and Private Equity",="",="10",="0",="$500M",="100K - 4M",
="CVC Capital Partners",="https://finder.startupnationcentral.org/investor_page/cvc-capital-partners",="VC and Private Equity",="",="3",="0",="$200B",="Undisclosed",
="DAG Ventures",="https://finder.startupnationcentral.org/investor_page/dag-ventures",="VC and Private Equity",="",="14",="0",="$1.8B",="700K - 10M",
="DCVC",="https://finder.startupnationcentral.org/investor_page/dcvc",="VC and Private Equity",="",="10",="0",="",="Undisclosed",
="DFJ Tamir Fishman Ventures",="https://finder.startupnationcentral.org/investor_page/dfj-tamir-fishman-ventures",="VC and Private Equity",="",="16",="0",="",="Undisclosed",
="Digital Currency Group",="https://finder.startupnationcentral.org/investor_page/digital-currency-group-1",="VC and Private Equity",="",="8",="0",="",="Undisclosed",
="DIVEdigital",="https://finder.startupnationcentral.org/investor_page/divedigital",="VC and Private Equity",="",="7",="3",="",="Undisclosed",
="Dreamit Ventures",="https://finder.startupnationcentral.org/investor_page/dreamit-ventures",="VC and Private Equity",="",="14",="1",="",="500K - 1.5M",
="Durable Capital Partners",="https://finder.startupnationcentral.org/investor_page/durable-capital-partners",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
="Exceed Ventures",="https://finder.startupnationcentral.org/investor_page/exceed-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Expansion Venture Capital",="https://finder.startupnationcentral.org/investor_page/expansion-venture-capital",="VC and Private Equity",="",="6",="0",="",="100K - 1M",
="First Round Capital",="https://finder.startupnationcentral.org/investor_page/first-round-capital",="VC and Private Equity",="",="10",="0",="",="1M - 5M",
="FJ Labs",="https://finder.startupnationcentral.org/investor_page/fj-labs",="VC and Private Equity",="",="10",="2",="",="220K - 1M",
="Florida Oppertunity Fund",="https://finder.startupnationcentral.org/investor_page/florida-oppertunity-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Flybridge Capital Partners",="https://finder.startupnationcentral.org/investor_page/flybridge-capital-partners",="VC and Private Equity",="",="13",="1",="$1B",="50K - 1M",
="Forestay Capital",="https://finder.startupnationcentral.org/investor_page/forestay-capital",="VC and Private Equity",="",="3",="0",="$220M",="10M - 20M",
="Founder Collective",="https://finder.startupnationcentral.org/investor_page/founder-collective",="VC and Private Equity",="",="21",="0",="$365M",="Undisclosed",
