Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Horizon Capital",="https://finder.startupnationcentral.org/investor_page/horizon-capital-1",="VC and Private Equity",="",="0",="0",="",="500K - 3M",
="HSBC Ventures",="https://finder.startupnationcentral.org/investor_page/hsbc-ventures",="Corporate VC",="",="5",="2",="",="Undisclosed",
="Hyperwise Ventures",="https://finder.startupnationcentral.org/investor_page/hyperwise-ventures",="VC and Private Equity",="",="16",="2",="$305M",="1M - 6M",
="i4Valley",="https://finder.startupnationcentral.org/investor_page/i4-valley-karmiel-incubator",="Incubator",="",="13",="4",="$70M",="830K - 1.2M",
="Ibex Investors",="https://finder.startupnationcentral.org/investor_page/ibex-investors-llc",="VC and Private Equity",="",="65",="18",="$1.11B",="Undisclosed",
="IBI Tech Fund",="https://finder.startupnationcentral.org/investor_page/ibi-tech-fund",="VC and Private Equity",="",="21",="3",="$110M",="1.5M - Undisclosed",
="IGP - Israel Growth Partners",="https://finder.startupnationcentral.org/investor_page/igp-israel-growth-partners",="VC and Private Equity",="",="25",="3",="$570M",="15M - 30M",
="IL Investors Forum",="https://finder.startupnationcentral.org/investor_page/il-investors-forum",="Angel Group",="",="0",="0",="",="Undisclosed - 1M",
="IN Venture",="https://finder.startupnationcentral.org/investor_page/in-venture",="Corporate VC",="",="17",="7",="$250M",="1M - 5M",
="INcapital Ventures",="https://finder.startupnationcentral.org/investor_page/incapital-ventures",="VC and Private Equity",="",="13",="2",="",="5M - 10M",
="Index Ventures",="https://finder.startupnationcentral.org/investor_page/index-ventures",="VC and Private Equity",="",="45",="8",="$15B",="Undisclosed",
="Infinity Group",="https://finder.startupnationcentral.org/investor_page/infinity-group",="VC and Private Equity",="",="21",="1",="$2B",="Undisclosed",
="InNegev",="https://finder.startupnationcentral.org/investor_page/innegev",="Incubator",="",="22",="12",="",="800K - 1.2M",
="Insight Partners",="https://finder.startupnationcentral.org/investor_page/insight-partners",="VC and Private Equity",="",="179",="28",="$99.3B",="Undisclosed",
="Intel Capital",="https://finder.startupnationcentral.org/investor_page/intel-capital",="Corporate VC",="",="119",="14",="$12.8B",="Undisclosed",
="Interwoven Ventures",="https://finder.startupnationcentral.org/investor_page/interwoven-ventures",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="ION Crossover Partners",="https://finder.startupnationcentral.org/investor_page/ion-crossover-partners",="VC and Private Equity",="",="15",="3",="$150M",="50M - 150M",
="Iron Nation",="https://finder.startupnationcentral.org/investor_page/iron-nation",="VC and Private Equity",="",="25",="25",="",="500K - 1.5M",
="Israel Biotech Fund",="https://finder.startupnationcentral.org/investor_page/israel-biotech-fund",="VC and Private Equity",="",="24",="3",="$166M",="Undisclosed",
="Israel Investment Fund Group",="https://finder.startupnationcentral.org/investor_page/israel-investment-fund-group",="VC and Private Equity",="",="6",="1",="",="Undisclosed",
="J-Ventures",="https://finder.startupnationcentral.org/investor_page/j-ventures",="VC and Private Equity",="",="28",="13",="$60M",="Undisclosed",
="JAL Ventures",="https://finder.startupnationcentral.org/investor_page/jal-ventures",="VC and Private Equity",="",="34",="5",="$200M",="3M - 6M",
="Jibe Ventures",="https://finder.startupnationcentral.org/investor_page/jibe-ventures",="VC and Private Equity",="",="56",="11",="",="Undisclosed",
="Joule Ventures",="https://finder.startupnationcentral.org/investor_page/joule-ventures",="VC and Private Equity",="",="57",="7",="$200M",="500K - 3M",
="Jumpspeed Ventures",="https://finder.startupnationcentral.org/investor_page/jumpspeed-ventures",="VC and Private Equity",="",="32",="3",="$21M",="300K - 1M",
="Kaedan Capital",="https://finder.startupnationcentral.org/investor_page/kaedan-capital",="VC and Private Equity",="",="40",="1",="",="100K - 2M",
="Katao Venture Partners",="https://finder.startupnationcentral.org/investor_page/katao-venture-partners",="VC and Private Equity",="",="15",="5",="",="Undisclosed",
