Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Sphera Fund",="https://finder.startupnationcentral.org/investor_page/sphera-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sphera Global Healthcare Fund",="https://finder.startupnationcentral.org/investor_page/sphera-global-healthcare-fund",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Springtide Ventures",="https://finder.startupnationcentral.org/investor_page/springtide-ventures",="VC and Private Equity",="",="9",="0",="",="1M - 10M",
="Star Farm Ventures",="https://finder.startupnationcentral.org/investor_page/star-farm-ventures",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Swarth Group",="https://finder.startupnationcentral.org/investor_page/swarth-group",="VC and Private Equity",="",="12",="0",="",="Undisclosed",
="Tamir Fishman Ventures",="https://finder.startupnationcentral.org/investor_page/tamir-fishman-ventures",="VC and Private Equity",="",="6",="0",="$150M",="Undisclosed",
="Technion Research & Development Foundation",="https://finder.startupnationcentral.org/investor_page/technion-research-development-foundation-1",="VC and Private Equity",="",="12",="3",="",="Undisclosed",
="TechWald Holding",="https://finder.startupnationcentral.org/investor_page/techwald-holding",="VC and Private Equity",="",="7",="2",="",="Undisclosed",
="The Group Ventures",="https://finder.startupnationcentral.org/investor_page/the-group-ventures-2",="VC and Private Equity",="",="10",="4",="",="500K - 5M",
="The Westly Group",="https://finder.startupnationcentral.org/investor_page/the-westly-group",="VC and Private Equity",="",="6",="0",="$800M",="Undisclosed",
="TMT Investments",="https://finder.startupnationcentral.org/investor_page/tmt-investments-1",="VC and Private Equity",="",="9",="0",="",="250K - Undisclosed",
="TPG Growth",="https://finder.startupnationcentral.org/investor_page/tpg-growth",="VC and Private Equity",="",="9",="1",="",="Undisclosed",
="Translink Capital",="https://finder.startupnationcentral.org/investor_page/translink-capital-1",="VC and Private Equity",="",="8",="0",="",="Undisclosed",
="Trilogy Equity Partners",="https://finder.startupnationcentral.org/investor_page/trilogy-equity-partners",="VC and Private Equity",="",="8",="0",="",="Undisclosed",
="True Ventures",="https://finder.startupnationcentral.org/investor_page/true-ventures",="VC and Private Equity",="",="8",="1",="$3.8B",="Undisclosed",
="TrueBridge Capital Partners",="https://finder.startupnationcentral.org/investor_page/truebridge-capital-partners",="VC and Private Equity",="",="1",="0",="$7.5B",="Undisclosed",
="Upfront Ventures",="https://finder.startupnationcentral.org/investor_page/upfront-ventures",="VC and Private Equity",="",="8",="1",="$2.7B",="Undisclosed",
="venBio",="https://finder.startupnationcentral.org/investor_page/venbio",="VC and Private Equity",="",="1",="0",="$2B",="Undisclosed",
="Venrock",="https://finder.startupnationcentral.org/investor_page/venrock",="VC and Private Equity",="",="12",="2",="",="Undisclosed",
="Venture Guides",="https://finder.startupnationcentral.org/investor_page/venture-guides",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
