Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="MindCET Capital",="https://finder.startupnationcentral.org/investor_page/mindcet-capital",="VC and Private Equity",="",="7",="2",="",="200K - 1M",
="Mindset Ventures",="https://finder.startupnationcentral.org/investor_page/mindset-ventures",="VC and Private Equity",="",="40",="4",="$100M",="500K - 3M",
="MizMaa Ventures",="https://finder.startupnationcentral.org/investor_page/mizmaa-ventures",="VC and Private Equity",="",="36",="3",="$250M",="1M - 5M",
="MoreVC",="https://finder.startupnationcentral.org/investor_page/morevc",="VC and Private Equity",="",="67",="6",="$275M",="500K - 3M",
="Morris Kahn",="https://finder.startupnationcentral.org/investor_page/morris-kahn",="Angel",="",="2",="0",="",="Undisclosed",
="NatureGrowth",="https://finder.startupnationcentral.org/investor_page/negevtech-ventures",="Incubator",="",="2",="1",="$3M",="1M - 3M",
="Net Capital Ventures",="https://finder.startupnationcentral.org/investor_page/net-capital-ventures",="VC and Private Equity",="",="24",="1",="",="Undisclosed",
="NetZero Tech Ventures",="https://finder.startupnationcentral.org/investor_page/netzero-tech-ventures",="Incubator",="",="10",="9",="",="410K - 1.7M",
="Neva SGR",="https://finder.startupnationcentral.org/investor_page/neva-sgr",="VC and Private Equity",="",="8",="2",="$500M",="4M - 15M",
="NevaTeam Partners",="https://finder.startupnationcentral.org/investor_page/nevateam-partners",="VC and Private Equity",="",="13",="5",="",="Undisclosed",
="New Era Capital Partners",="https://finder.startupnationcentral.org/investor_page/new-era-capital-partners",="VC and Private Equity",="",="46",="13",="$315M",="1M - 10M",
="Next Gear Ventures",="https://finder.startupnationcentral.org/investor_page/next-gear-ventures",="VC and Private Equity",="",="62",="17",="$76M",="Undisclosed",
="Next47",="https://finder.startupnationcentral.org/investor_page/next47",="VC and Private Equity",="",="17",="2",="$2B",="5M - 35M",
="NFX Capital",="https://finder.startupnationcentral.org/investor_page/nfx-guild1",="VC and Private Equity",="",="98",="23",="$1B",="500K - 10M",
="NGT HealthCare II",="https://finder.startupnationcentral.org/investor_page/ngt-healthcare-ii",="VC and Private Equity",="",="24",="8",="$92M",="50K - Undisclosed",
="NightDragon",="https://finder.startupnationcentral.org/investor_page/nightdragon",="VC and Private Equity",="",="6",="1",="$760M",="Undisclosed",
="Norwest Venture Partners",="https://finder.startupnationcentral.org/investor_page/norwest-venture-partners",="VC and Private Equity",="",="70",="7",="$15.5B",="Undisclosed",
="O.G. Venture Partners",="https://finder.startupnationcentral.org/investor_page/o-g-venture-partners",="VC and Private Equity",="",="38",="6",="$550M",="5M - 15M",
="Oak HC/FT",="https://finder.startupnationcentral.org/investor_page/oak-hc-ft",="VC and Private Equity",="",="16",="1",="$1.9B",="Undisclosed",
="Operator Partners",="https://finder.startupnationcentral.org/investor_page/operator-partners",="VC and Private Equity",="",="24",="6",="$70M",="250K - 1M",
="Oren Dobronsky",="https://finder.startupnationcentral.org/investor_page/oren-dobronsky",="Angel",="",="9",="1",="",="Undisclosed",
="Oren Zeev",="https://finder.startupnationcentral.org/investor_page/oren-zeev",="Angel",="",="91",="11",="",="5M - 10M",
="Ormat New Ventures",="https://finder.startupnationcentral.org/investor_page/ormat-new-ventures",="Corporate VC",="",="3",="2",="",="500K - 5M",
="PeakBridge",="https://finder.startupnationcentral.org/investor_page/peakbridge",="VC and Private Equity",="",="17",="4",="$255M",="Undisclosed",
="Peregrine Ventures",="https://finder.startupnationcentral.org/investor_page/peregrine-ventures",="VC and Private Equity",="",="105",="38",="$600M",="500K - 30M",
="Permira",="https://finder.startupnationcentral.org/investor_page/permira",="VC and Private Equity",="",="3",="0",="$80B",="Undisclosed",
="PICO Venture Partners",="https://finder.startupnationcentral.org/investor_page/pico-venture-partners",="VC and Private Equity",="",="57",="7",="$250M",="Undisclosed",
="Pitango First",="https://finder.startupnationcentral.org/investor_page/pitango-first",="VC and Private Equity",="",="85",="14",="",="Undisclosed",
="Pix Vine Capital",="https://finder.startupnationcentral.org/investor_page/pix-vine-capital",="VC and Private Equity",="",="13",="0",="",="250K - 1M",
="Planven Entrepreneur Ventures",="https://finder.startupnationcentral.org/investor_page/planven-entrepreneur-ventures",="VC and Private Equity",="",="15",="2",="$300M",="5M - 7M",
="Poalim Equity",="https://finder.startupnationcentral.org/investor_page/poalim-equity",="VC and Private Equity",="",="22",="3",="$184B",="Undisclosed",
="Pontifax",="https://finder.startupnationcentral.org/investor_page/Pontifax",="VC and Private Equity",="",="58",="3",="$1.34B",="Undisclosed",
="Protego Ventures",="https://finder.startupnationcentral.org/investor_page/protego-ventures",="VC and Private Equity",="",="2",="2",="$70M",="Undisclosed",
="q fund",="https://finder.startupnationcentral.org/investor_page/q-fund",="VC and Private Equity",="",="7",="4",="$30M",="500K - 2M",
="Qbeat Ventures",="https://finder.startupnationcentral.org/investor_page/qbeat-ventures",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Qumra Capital",="https://finder.startupnationcentral.org/investor_page/qumra-capital",="VC and Private Equity",="",="34",="4",="$785M",="10M - 20M",
="Random Forest VC",="https://finder.startupnationcentral.org/investor_page/random-forest",="VC and Private Equity",="",="9",="3",="$20M",="700K - 1M",
="Redpoint Ventures",="https://finder.startupnationcentral.org/investor_page/redpoint-ventures",="VC and Private Equity",="",="25",="4",="$4B",="Undisclosed",
="Remagine Ventures",="https://finder.startupnationcentral.org/investor_page/remagine-ventures",="VC and Private Equity",="",="24",="4",="$60M",="500K - 1.5M",
="Resolute Ventures",="https://finder.startupnationcentral.org/investor_page/resolute-ventures",="VC and Private Equity",="",="18",="1",="",="500K - Undisclosed",
="Robert Bosch Venture Capital",="https://finder.startupnationcentral.org/investor_page/robert-bosch-venture-capital",="Corporate VC",="",="23",="2",="$1B",="500K - 10M",
="Ron Brightman",="https://finder.startupnationcentral.org/investor_page/ron-brightman",="Angel",="",="2",="2",="",="Undisclosed - 100K",
