Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Follow[The]Seed",="https://finder.startupnationcentral.org/investor_page/follow-the-seed",="VC and Private Equity",="",="6",="0",="$200M",="500K - 2M",
="Fortissimo Capital",="https://finder.startupnationcentral.org/investor_page/fortissimo-capital",="VC and Private Equity",="",="36",="4",="$2.7B",="5M - 150M",
="Francisco Partners",="https://finder.startupnationcentral.org/investor_page/francisco-partners",="VC and Private Equity",="",="5",="0",="$45B",="Undisclosed",
="Fresh Fund",="https://finder.startupnationcentral.org/investor_page/fresh-fund",="VC and Private Equity",="",="49",="11",="$70M",="250K - 1M",
="Future Energy Ventures",="https://finder.startupnationcentral.org/investor_page/innogy-innovation-hub",="VC and Private Equity",="",="20",="2",="$350M",="1M - 10M",
="Gefen Capital",="https://finder.startupnationcentral.org/investor_page/gefen-capital",="VC and Private Equity",="",="37",="4",="",="1M - 3M",
="General Catalyst",="https://finder.startupnationcentral.org/investor_page/general-catalyst",="VC and Private Equity",="",="36",="6",="$39B",="Undisclosed",
="GiTV (Global Innovation Technology Ventures)",="https://finder.startupnationcentral.org/investor_page/gitv-global-innovation-technology-ventures",="VC and Private Equity",="",="10",="1",="",="Undisclosed",
="Glilot Capital Partners",="https://finder.startupnationcentral.org/investor_page/glilot-capital-partners",="VC and Private Equity",="",="102",="20",="$700M",="5M - 20M",
="GoAhead Ventures",="https://finder.startupnationcentral.org/investor_page/goahead-ventures",="VC and Private Equity",="",="19",="3",="$112M",="200K - 1M",
="Good Company VC",="https://finder.startupnationcentral.org/investor_page/good-company-vc",="VC and Private Equity",="",="26",="6",="",="Undisclosed",
="Gravity Climate Fund",="https://finder.startupnationcentral.org/investor_page/gravity-climate-fund",="VC and Private Equity",="",="5",="5",="",="300K - 1.5M",
="GreatPoint Ventures",="https://finder.startupnationcentral.org/investor_page/greatpoint-ventures",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Greenfield Partners",="https://finder.startupnationcentral.org/investor_page/greenfield-partners",="VC and Private Equity",="",="32",="9",="$1B",="Undisclosed",
="Greylock",="https://finder.startupnationcentral.org/investor_page/greylock",="VC and Private Equity",="",="53",="4",="",="Undisclosed",
="Ground Up Ventures",="https://finder.startupnationcentral.org/investor_page/ground-up-ventures",="VC and Private Equity",="",="16",="4",="",="250K - 500K",
="Group 11",="https://finder.startupnationcentral.org/investor_page/group-11",="VC and Private Equity",="",="56",="6",="",="5M - 20M",
="Grove Ventures",="https://finder.startupnationcentral.org/investor_page/grove-ventures",="VC and Private Equity",="",="66",="10",="$500M",="500K - 5M",
="Guangzhou Sino-Israel Biotech Investment Fund (GIBF)",="https://finder.startupnationcentral.org/investor_page/guangzhou-sino-israel-biotech-investment-fund-gibf",="VC and Private Equity",="",="6",="1",="$300M",="5M - 20M",
="Hamilton Lane",="https://finder.startupnationcentral.org/investor_page/hamilton-lane",="VC and Private Equity",="",="13",="2",="$901B",="Undisclosed",
="Hetz Ventures",="https://finder.startupnationcentral.org/investor_page/hetz-ventures",="VC and Private Equity",="",="66",="16",="$282M",="1M - 5M",
="Horizon Capital",="https://finder.startupnationcentral.org/investor_page/horizon-capital-1",="VC and Private Equity",="",="0",="0",="",="500K - 3M",
="HORIZON CAPITAL",="https://finder.startupnationcentral.org/investor_page/horizon-capital",="VC and Private Equity",="",="34",="5",="$50M",="500K - 4M",
="Hyperwise Ventures",="https://finder.startupnationcentral.org/investor_page/hyperwise-ventures",="VC and Private Equity",="",="16",="2",="$305M",="1M - 6M",
="Ibex Investors",="https://finder.startupnationcentral.org/investor_page/ibex-investors-llc",="VC and Private Equity",="",="65",="18",="$1.11B",="Undisclosed",
="IBI Tech Fund",="https://finder.startupnationcentral.org/investor_page/ibi-tech-fund",="VC and Private Equity",="",="21",="3",="$110M",="1.5M - Undisclosed",
="IGP - Israel Growth Partners",="https://finder.startupnationcentral.org/investor_page/igp-israel-growth-partners",="VC and Private Equity",="",="25",="3",="$570M",="15M - 30M",
="INcapital Ventures",="https://finder.startupnationcentral.org/investor_page/incapital-ventures",="VC and Private Equity",="",="13",="2",="",="5M - 10M",
="Index Ventures",="https://finder.startupnationcentral.org/investor_page/index-ventures",="VC and Private Equity",="",="45",="8",="$15B",="Undisclosed",
="Infinity Group",="https://finder.startupnationcentral.org/investor_page/infinity-group",="VC and Private Equity",="",="21",="1",="$2B",="Undisclosed",
