Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Xerox Ventures",="https://finder.startupnationcentral.org/investor_page/xerox-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Xevin Investments",="https://finder.startupnationcentral.org/investor_page/xevin-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Xilinx",="https://finder.startupnationcentral.org/investor_page/xilinx",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="XL Innovate",="https://finder.startupnationcentral.org/investor_page/xl-innovate",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="XSeed Capital",="https://finder.startupnationcentral.org/investor_page/xseed-capital-1",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="XT Group",="https://finder.startupnationcentral.org/investor_page/xt-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="XT Investments",="https://finder.startupnationcentral.org/investor_page/xt-investments",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="XtremIO",="https://finder.startupnationcentral.org/investor_page/xtremio-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yalin Lapidot",="https://finder.startupnationcentral.org/investor_page/yalin-lapidot",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Yanai Peleg & Co Investment House",="https://finder.startupnationcentral.org/investor_page/yanai-peleg-co-investment-house",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yara Ventures",="https://finder.startupnationcentral.org/investor_page/yara-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yard Ventures",="https://finder.startupnationcentral.org/investor_page/yard-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yasuda Ventures",="https://finder.startupnationcentral.org/investor_page/yasuda-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="YC Continuity",="https://finder.startupnationcentral.org/investor_page/yc-continuity",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Yellow Brick Capital",="https://finder.startupnationcentral.org/investor_page/yellow-brick-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="YellowRockets.vc",="https://finder.startupnationcentral.org/investor_page/yellowrockets-vc",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Yes VC",="https://finder.startupnationcentral.org/investor_page/yes-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yolo Investments",="https://finder.startupnationcentral.org/investor_page/yolo-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yongjin Capital",="https://finder.startupnationcentral.org/investor_page/yongjin-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yongzhu",="https://finder.startupnationcentral.org/investor_page/yongzhu",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yonjin Ventures",="https://finder.startupnationcentral.org/investor_page/yonjin-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="York Capital Management",="https://finder.startupnationcentral.org/investor_page/york-capital-management",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="York IE",="https://finder.startupnationcentral.org/investor_page/york-ie",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Yorkville Advisors Global",="https://finder.startupnationcentral.org/investor_page/yorkville-advisors-global",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Youzu Interactive",="https://finder.startupnationcentral.org/investor_page/youzu-interactive",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ZenInvest",="https://finder.startupnationcentral.org/investor_page/zeninvest",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zero Carbon Capital",="https://finder.startupnationcentral.org/investor_page/-zero-carbon-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Zero Knowledge Venture",="https://finder.startupnationcentral.org/investor_page/zero-knowledge-venture",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ZG Ventures",="https://finder.startupnationcentral.org/investor_page/zg-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="ZhenFund",="https://finder.startupnationcentral.org/investor_page/zhenfund",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Zhongguancun Translational Medicine Science & Technology",="https://finder.startupnationcentral.org/investor_page/zhongguancun-translational-medicine-science-technology",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zhuhai Ruikun",="https://finder.startupnationcentral.org/investor_page/zhuhai-ruikun",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zigg Capital",="https://finder.startupnationcentral.org/investor_page/zigg-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zimmer Partners",="https://finder.startupnationcentral.org/investor_page/zimmer-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Zoom Apps Fund",="https://finder.startupnationcentral.org/investor_page/zoom-apps-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ZTE-VC",="https://finder.startupnationcentral.org/investor_page/zte-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
