Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Educapital",="https://finder.startupnationcentral.org/investor_page/educapital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="EduLab Capital Partners",="https://finder.startupnationcentral.org/investor_page/edulab-capital-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Egan-Managed Capital",="https://finder.startupnationcentral.org/investor_page/egan-managed-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Egis Capital Partners",="https://finder.startupnationcentral.org/investor_page/egis-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ego Death Capital",="https://finder.startupnationcentral.org/investor_page/ego-death-capital",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="EGP",="https://finder.startupnationcentral.org/investor_page/egp",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Eiffel Investment Group S.A.S",="https://finder.startupnationcentral.org/investor_page/eiffel-investment-group-s-a-s",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Einav Hi-Tech Assets",="https://finder.startupnationcentral.org/investor_page/einav-hi-tech-assets",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="EJF Capital LLC",="https://finder.startupnationcentral.org/investor_page/ejf-capital-llc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="El - Sar",="https://finder.startupnationcentral.org/investor_page/el-sar",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Elady Ltd",="https://finder.startupnationcentral.org/investor_page/elady-ltd",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Elaia",="https://finder.startupnationcentral.org/investor_page/elaia",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Eldridge",="https://finder.startupnationcentral.org/investor_page/eldridge",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Electric Capital",="https://finder.startupnationcentral.org/investor_page/electric-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Elephant Partners",="https://finder.startupnationcentral.org/investor_page/elephant-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Elevar Equity",="https://finder.startupnationcentral.org/investor_page/elevar-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Eleven Two Capital",="https://finder.startupnationcentral.org/investor_page/eleven-two-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
