Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Radicle Growth",="https://finder.startupnationcentral.org/investor_page/radicle-growth",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Radius Ventures",="https://finder.startupnationcentral.org/investor_page/radius-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Radnet",="https://finder.startupnationcentral.org/investor_page/radnet",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ragnar Investment Limited Partnership",="https://finder.startupnationcentral.org/investor_page/ragnar-investment-limited-partnership",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Rain Capital",="https://finder.startupnationcentral.org/investor_page/rain-capital",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Raine Ventures",="https://finder.startupnationcentral.org/investor_page/raine-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Rally Ventures",="https://finder.startupnationcentral.org/investor_page/rally-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Rationalwave Capital Partners",="https://finder.startupnationcentral.org/investor_page/rationalwave-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Reach Capital",="https://finder.startupnationcentral.org/investor_page/reach-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Reach Markets",="https://finder.startupnationcentral.org/investor_page/reach-markets",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Rebel Fund",="https://finder.startupnationcentral.org/investor_page/rebel-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Reciprocal Ventures",="https://finder.startupnationcentral.org/investor_page/reciprocal-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Recursive Ventures",="https://finder.startupnationcentral.org/investor_page/recursive-ventures",="VC and Private Equity",="",="4",="3",="",="Undisclosed",
="Red Door Capital Partners",="https://finder.startupnationcentral.org/investor_page/red-door-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
