Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="33N Ventures",="https://finder.startupnationcentral.org/investor_page/33n-ventures",="VC and Private Equity",="",="4",="0",="",="10M - 10M",
="3D Innotech",="https://finder.startupnationcentral.org/investor_page/3d-innotech",="VC and Private Equity",="",="11",="1",="",="Undisclosed",
="3PEL Ventures",="https://finder.startupnationcentral.org/investor_page/3pel",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="44 Ventures",="https://finder.startupnationcentral.org/investor_page/weendeavor",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="500 Startups",="https://finder.startupnationcentral.org/investor_page/500-startups",="VC and Private Equity",="",="37",="0",="",="25K - 1M",
="5eyes Ventures",="https://finder.startupnationcentral.org/investor_page/5eyes",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="8VC",="https://finder.startupnationcentral.org/investor_page/8vc",="VC and Private Equity",="",="11",="0",="$6B",="Undisclosed",
="91 Ventures",="https://finder.startupnationcentral.org/investor_page/91-ventures",="VC and Private Equity",="",="3",="3",="$15M",="400K - 1M",
="AAF Group",="https://finder.startupnationcentral.org/investor_page/aquagro-fund",="VC and Private Equity",="",="10",="0",="$50M",="Undisclosed",
="Abraseed",="https://finder.startupnationcentral.org/investor_page/abraseed",="VC and Private Equity",="",="0",="0",="",="200K - 500K",
="Access Medical Ventures",="https://finder.startupnationcentral.org/investor_page/access-medical-ventures",="VC and Private Equity",="",="16",="0",="",="Undisclosed",
="ADIV",="https://finder.startupnationcentral.org/investor_page/adiv",="VC and Private Equity",="",="0",="0",="$50M",="Undisclosed",
="Agate",="https://finder.startupnationcentral.org/investor_page/agate",="VC and Private Equity",="",="1",="0",="$100M",="Undisclosed",
="Agate Medical Investments",="https://finder.startupnationcentral.org/investor_page/agate-medical-investments",="VC and Private Equity",="",="11",="0",="$100M",="Undisclosed",
="AGP Ventures",="https://finder.startupnationcentral.org/investor_page/agp-ventures",="VC and Private Equity",="",="7",="0",="",="250K - 1.5M",
="Allon Ventures",="https://finder.startupnationcentral.org/investor_page/allon-ventures",="VC and Private Equity",="",="1",="0",="",="100K - 200K",
="Almeda Ventures",="https://finder.startupnationcentral.org/investor_page/almeda-ventures",="VC and Private Equity",="",="14",="2",="$30M",="Undisclosed",
="Alon MedTech Ventures",="https://finder.startupnationcentral.org/investor_page/alon-medtech-ventures",="VC and Private Equity",="",="20",="1",="",="Undisclosed",
="Aloniq",="https://finder.startupnationcentral.org/investor_page/aloniq",="VC and Private Equity",="",="7",="1",="",="100K - 500K",
="Alora Ventures",="https://finder.startupnationcentral.org/investor_page/alora-ventures",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="AM Ventures",="https://finder.startupnationcentral.org/investor_page/am-ventures",="VC and Private Equity",="",="0",="0",="$100M",="500K - 3M",
="Amadeus Capital Partners",="https://finder.startupnationcentral.org/investor_page/amadeus-capital-partners",="VC and Private Equity",="",="12",="0",="$1B",="Undisclosed",
="Amelia Investments & Holdings",="https://finder.startupnationcentral.org/investor_page/amelia-investments-holdings",="VC and Private Equity",="",="3",="0",="$15M",="Undisclosed",
="Amiti Ventures",="https://finder.startupnationcentral.org/investor_page/amiti-ventures",="VC and Private Equity",="",="57",="4",="$450M",="2M - Undisclosed",
="Amplefields Investments",="https://finder.startupnationcentral.org/investor_page/amplefields-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Anna Partners",="https://finder.startupnationcentral.org/investor_page/anna-partners",="VC and Private Equity",="",="1",="0",="$25M",="500K - 5M",
="ANOVA Ventures",="https://finder.startupnationcentral.org/investor_page/anova-ventures",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Apax Partners",="https://finder.startupnationcentral.org/investor_page/apax-partners",="VC and Private Equity",="",="19",="1",="$60B",="Undisclosed",
="Arba Finance Company",="https://finder.startupnationcentral.org/investor_page/arba-finance-company",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Arbelon Holdings",="https://finder.startupnationcentral.org/investor_page/arbelon-holdings",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Arbor Ventures",="https://finder.startupnationcentral.org/investor_page/arbor-ventures",="VC and Private Equity",="",="14",="0",="$303M",="Undisclosed",
="Arc Impact",="https://finder.startupnationcentral.org/investor_page/arc-impact",="VC and Private Equity",="",="18",="2",="",="Undisclosed",
="Arie Capital",="https://finder.startupnationcentral.org/investor_page/arie-capital",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Arkin Bio",="https://finder.startupnationcentral.org/investor_page/arkin-bio",="VC and Private Equity",="",="11",="0",="",="Undisclosed",
="Arkin Equity",="https://finder.startupnationcentral.org/investor_page/arkin-equity",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Asor Capital",="https://finder.startupnationcentral.org/investor_page/asor-capital",="VC and Private Equity",="",="1",="0",="",="50K - 200K",
="Aspect Ventures",="https://finder.startupnationcentral.org/investor_page/aspect-ventures",="VC and Private Equity",="",="16",="0",="$331M",="Undisclosed",
="Aurelius Capital",="https://finder.startupnationcentral.org/investor_page/aurelius-capital",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Aurum Ventures M.K.I",="https://finder.startupnationcentral.org/investor_page/aurum-ventures-m-k-i",="VC and Private Equity",="",="27",="0",="",="Undisclosed",
="Aviv Venture Capital",="https://finder.startupnationcentral.org/investor_page/aviv-venture-capital",="VC and Private Equity",="",="23",="0",="$77M",="Undisclosed",
="Axa Venture Partners",="https://finder.startupnationcentral.org/investor_page/axa-venture-partners",="VC and Private Equity",="",="12",="0",="$1B",="1M - 60M",
="Axon Ventures",="https://finder.startupnationcentral.org/investor_page/axon-ventures",="VC and Private Equity",="",="11",="1",="",="Undisclosed",
="B-Seed",="https://finder.startupnationcentral.org/investor_page/bseed",="VC and Private Equity",="",="9",="0",="",="10K - Undisclosed",
="Baladi Ventures",="https://finder.startupnationcentral.org/investor_page/baladi-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Barinboim Group",="https://finder.startupnationcentral.org/investor_page/barinboim-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="BAT Investments",="https://finder.startupnationcentral.org/investor_page/bat-investments",="VC and Private Equity",="",="5",="0",="",="50K - 500K",
="Benson Oak Ventures",="https://finder.startupnationcentral.org/investor_page/benson-oak-ventures",="VC and Private Equity",="",="8",="0",="$25M",="250K - 5M",
="Beyond22",="https://finder.startupnationcentral.org/investor_page/beyond22",="VC and Private Equity",="",="0",="0",="",="50K - 750K",
="BG7 Ventures",="https://finder.startupnationcentral.org/investor_page/bg7-ventures",="VC and Private Equity",="",="0",="0",="",="500K - Undisclosed",
="Big-Tech R&D 50",="https://finder.startupnationcentral.org/investor_page/big-tech-r-d-50",="VC and Private Equity",="",="16",="0",="$26M",="Undisclosed",
