Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Impact Venture Partners",="https://finder.startupnationcentral.org/investor_page/impact-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="ImpactAssets Inc.",="https://finder.startupnationcentral.org/investor_page/impactassets-inc",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Impatient Venture",="https://finder.startupnationcentral.org/investor_page/impatient-venture",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Imperious Group",="https://finder.startupnationcentral.org/investor_page/imperious-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="IncWell",="https://finder.startupnationcentral.org/investor_page/incwell",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Industry Ventures",="https://finder.startupnationcentral.org/investor_page/industry-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="INE Ventures",="https://finder.startupnationcentral.org/investor_page/ine-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="iNetworks",="https://finder.startupnationcentral.org/investor_page/inetworks",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="iNetworks 360",="https://finder.startupnationcentral.org/investor_page/inetworks-360",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Infinity China",="https://finder.startupnationcentral.org/investor_page/infinity-china",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Infity Equity",="https://finder.startupnationcentral.org/investor_page/infity-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="InFocus Capital Partners",="https://finder.startupnationcentral.org/investor_page/infocus-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Information Venture Partners",="https://finder.startupnationcentral.org/investor_page/information-venture-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Infra Park",="https://finder.startupnationcentral.org/investor_page/infra-park",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="infrapark digital",="https://finder.startupnationcentral.org/investor_page/infrapark-digital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ingka Investments",="https://finder.startupnationcentral.org/investor_page/ingka-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="InHealth Ventures",="https://finder.startupnationcentral.org/investor_page/inhealth-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="initial.vc",="https://finder.startupnationcentral.org/investor_page/initial-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Initialized Capital",="https://finder.startupnationcentral.org/investor_page/initialized-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="InNEVator",="https://finder.startupnationcentral.org/investor_page/innevator",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Innocare Health Investments",="https://finder.startupnationcentral.org/investor_page/innocare-health-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Innogest Capital",="https://finder.startupnationcentral.org/investor_page/innogest-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Innomed Ventures",="https://finder.startupnationcentral.org/investor_page/innomed-ventures-1",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Innotech Capitals",="https://finder.startupnationcentral.org/investor_page/innotech-capitals",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Innovacom",="https://finder.startupnationcentral.org/investor_page/innovacom",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="InnovaHealth Partners LP",="https://finder.startupnationcentral.org/investor_page/innovahealth-partners-lp",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Innovation Valley Partners",="https://finder.startupnationcentral.org/investor_page/innovation-valley-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Inovia Capital",="https://finder.startupnationcentral.org/investor_page/inovia-capital",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Inspiration Ventures",="https://finder.startupnationcentral.org/investor_page/inspiration-ventures",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Inspired Capital",="https://finder.startupnationcentral.org/investor_page/inspired-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="InsuResiliance Investment Fund",="https://finder.startupnationcentral.org/investor_page/insuresiliance-investment-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Intago Ventures",="https://finder.startupnationcentral.org/investor_page/intago-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Intellectual Ventures",="https://finder.startupnationcentral.org/investor_page/intellectual-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="intelsys",="https://finder.startupnationcentral.org/investor_page/intelsys",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Intercept Ventures",="https://finder.startupnationcentral.org/investor_page/intercept-ventures-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Intermountain Ventures",="https://finder.startupnationcentral.org/investor_page/intermountain-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Internet Initiatives Development Fund (IIDF)",="https://finder.startupnationcentral.org/investor_page/internet-initiatives-development-fund-iidf",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Interop Ventures",="https://finder.startupnationcentral.org/investor_page/interop-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Interplay Ventures",="https://finder.startupnationcentral.org/investor_page/interplay-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Interwest Partners",="https://finder.startupnationcentral.org/investor_page/interwest-partners-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Inventech Industrial Ventures",="https://finder.startupnationcentral.org/investor_page/inventech-industrial-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="InVenture Partners",="https://finder.startupnationcentral.org/investor_page/inventure-partners-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Investor Growth Capital",="https://finder.startupnationcentral.org/investor_page/investor-growth-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Invictus Growth Partners",="https://finder.startupnationcentral.org/investor_page/invictus-growth-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Invus",="https://finder.startupnationcentral.org/investor_page/invus",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Ionic Ventures",="https://finder.startupnationcentral.org/investor_page/ionic-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="IrishAngels Ventures",="https://finder.startupnationcentral.org/investor_page/irishangels-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Irving Investors",="https://finder.startupnationcentral.org/investor_page/irving-investors",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Isal Amlat Investments",="https://finder.startupnationcentral.org/investor_page/isal-amlat-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="iSelect Fund",="https://finder.startupnationcentral.org/investor_page/iselect-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
