Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="AnD Ventures",="https://finder.startupnationcentral.org/investor_page/and-ventures",="VC and Private Equity",="",="27",="14",="$60M",="200K - 3M",
="Andreessen Horowitz",="https://finder.startupnationcentral.org/investor_page/andreessen-horowitz",="VC and Private Equity",="",="34",="6",="$42B",="25K - Undisclosed",
="Angular Ventures",="https://finder.startupnationcentral.org/investor_page/angular-ventures1",="VC and Private Equity",="",="36",="9",="$121M",="100K - 3M",
="AP Partners",="https://finder.startupnationcentral.org/investor_page/ap-partners",="VC and Private Equity",="",="8",="0",="$100M",="Undisclosed",
="Arieli Group",="https://finder.startupnationcentral.org/investor_page/arieli-group-1",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Aristagora VC",="https://finder.startupnationcentral.org/investor_page/aristagora-vc",="VC and Private Equity",="",="16",="3",="$60M",="500K - 2M",
="Arkin Digital Health",="https://finder.startupnationcentral.org/investor_page/arkin-digital-health",="VC and Private Equity",="",="9",="2",="",="Undisclosed",
="Artofin",="https://finder.startupnationcentral.org/investor_page/artofin",="VC and Private Equity",="",="9",="6",="",="2M - 7M",
="at.inc/",="https://finder.startupnationcentral.org/investor_page/at-inc",="VC and Private Equity",="",="14",="5",="",="Undisclosed",
="Awz Ventures",="https://finder.startupnationcentral.org/investor_page/awz-ventures",="VC and Private Equity",="",="38",="7",="$2.5B",="Undisclosed",
="Bain Capital Ventures",="https://finder.startupnationcentral.org/investor_page/bain-capital-ventures",="VC and Private Equity",="",="20",="2",="$6.6B",="1M - 100M",
="Battery Ventures",="https://finder.startupnationcentral.org/investor_page/battery-ventures",="VC and Private Equity",="",="133",="8",="",="Undisclosed",
="Benchmark Capital",="https://finder.startupnationcentral.org/investor_page/benchmark-capital",="VC and Private Equity",="",="56",="2",="",="100K - Undisclosed",
="Benhamou Global Ventures",="https://finder.startupnationcentral.org/investor_page/benhamou-global-ventures",="VC and Private Equity",="",="26",="3",="$500M",="Undisclosed",
="Blue Capital",="https://finder.startupnationcentral.orgEy9nTRg8UtpSfriMVuyewyRE8kjusmUx6MNurMMLgEqPRXmRCT5cu0",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Blumberg Capital",="https://finder.startupnationcentral.org/investor_page/blumberg-capital",="VC and Private Equity",="",="90",="7",="$870M",="500K - 5M",
="Boldstart Ventures",="https://finder.startupnationcentral.org/investor_page/boldstart-ventures",="VC and Private Equity",="",="29",="4",="$816.6M",="250K - 2M",
="Brilliance Ventures",="https://finder.startupnationcentral.org/investor_page/brilliance-ventures",="VC and Private Equity",="",="7",="0",="",="10M - 25M",
="BRM Group",="https://finder.startupnationcentral.org/investor_page/brm-group",="VC and Private Equity",="",="63",="3",="$250M",="Undisclosed",
="Caesar",="https://finder.startupnationcentral.org/investor_page/caesar",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Canaan Partners Israel",="https://finder.startupnationcentral.org/investor_page/canaan-partners-israel",="VC and Private Equity",="",="53",="4",="$6.8B",="Undisclosed",
="Cardumen Capital",="https://finder.startupnationcentral.org/investor_page/cardumen-capital",="VC and Private Equity",="",="39",="11",="$250M",="1M - 4M",
="Catalyst",="https://finder.startupnationcentral.org/investor_page/catalyst",="VC and Private Equity",="",="25",="2",="$450M",="Undisclosed",
="Cerca Partners",="https://finder.startupnationcentral.org/investor_page/cerca-partners",="VC and Private Equity",="",="84",="13",="$160M",="Undisclosed",
="Champel Capital",="https://finder.startupnationcentral.org/investor_page/champel-capital",="VC and Private Equity",="",="17",="2",="$50M",="1M - 5M",
="Claltech",="https://finder.startupnationcentral.org/investor_page/claltech",="VC and Private Equity",="",="29",="2",="",="Undisclosed",
="Coatue",="https://finder.startupnationcentral.org/investor_page/coatue",="VC and Private Equity",="",="23",="4",="$25.4B",="Undisclosed",
="Consensus Business Group (CBG)",="https://finder.startupnationcentral.org/investor_page/consensus-business-group-cbg",="VC and Private Equity",="",="27",="5",="$700M",="Undisclosed",
="Corner Ventures",="https://finder.startupnationcentral.org/investor_page/corner-ventures",="VC and Private Equity",="",="26",="0",="",="Undisclosed",
="Corundum Neuroscience",="https://finder.startupnationcentral.org/investor_page/corundum-neuroscience",="VC and Private Equity",="",="14",="1",="$50M",="Undisclosed",
="CRV",="https://finder.startupnationcentral.org/investor_page/crv",="VC and Private Equity",="",="24",="5",="$4.3B",="Undisclosed",
="Deep Insight",="https://finder.startupnationcentral.org/investor_page/deep-insight",="VC and Private Equity",="",="17",="7",="",="1M - 10M",
="Dell Technologies Capital",="https://finder.startupnationcentral.org/investor_page/emc-ventures",="VC and Private Equity",="",="55",="8",="",="Undisclosed",
="Disruptive AI",="https://finder.startupnationcentral.org/investor_page/disruptive-ai",="VC and Private Equity",="",="13",="4",="",="Undisclosed",
="DTCP",="https://finder.startupnationcentral.org/investor_page/dtcp",="VC and Private Equity",="",="26",="4",="$3B",="5M - 50M",
="Earth & Beyond Ventures",="https://finder.startupnationcentral.org/investor_page/earth-beyond-ventures",="VC and Private Equity",="",="12",="10",="",="500K - 2M",
="Eclipse Ventures",="https://finder.startupnationcentral.org/investor_page/eclipse-ventures",="VC and Private Equity",="",="21",="5",="$4B",="Undisclosed",
="Edge Medical Ventures",="https://finder.startupnationcentral.org/investor_page/edge-medical-ventures",="VC and Private Equity",="",="2",="2",="$20M",="500K - 6M",
="eHealth Ventures",="https://finder.startupnationcentral.org/investor_page/ehealth-ventures",="VC and Private Equity",="",="52",="10",="$70M",="Undisclosed",
="Elron Ventures",="https://finder.startupnationcentral.org/investor_page/elron-electronic-industries",="VC and Private Equity",="",="56",="6",="$300M",="Undisclosed",
="Emerge",="https://finder.startupnationcentral.org/investor_page/emerge",="VC and Private Equity",="",="39",="3",="$130M",="Undisclosed",
="Erez Capital",="https://finder.startupnationcentral.org/investor_page/erez-capital",="VC and Private Equity",="",="3",="2",="$10M",="50K - 1M",
="Extantia Capital",="https://finder.startupnationcentral.org/investor_page/extantia-capital",="VC and Private Equity",="",="4",="1",="$107.36M",="1M - 4.2M",
="F2 Venture Capital",="https://finder.startupnationcentral.org/investor_page/f2-venture-capital",="VC and Private Equity",="",="62",="10",="$500M",="100K - 6M",
="Fearless DTC Growth Fund",="https://finder.startupnationcentral.org/investor_page/fearless-dtc-growth-fund",="VC and Private Equity",="",="0",="0",="",="150K - 350K",
="FIMI Opportunity Funds",="https://finder.startupnationcentral.org/investor_page/fimi-opportunity-funds",="VC and Private Equity",="",="11",="0",="$7B",="Undisclosed",
="FinTLV Ventures",="https://finder.startupnationcentral.org/investor_page/fintlv",="VC and Private Equity",="",="18",="4",="$500M",="500K - 150M",
="Firstime VC",="https://finder.startupnationcentral.org/investor_page/firstime",="VC and Private Equity",="",="64",="2",="$200M",="2M - 8M",
="Flint Capital",="https://finder.startupnationcentral.org/investor_page/flint-capital",="VC and Private Equity",="",="48",="8",="$370M",="500K - 5M",
="FLORA Ventures",="https://finder.startupnationcentral.org/investor_page/flora-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
