Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Disruption Ventures",="https://finder.startupnationcentral.org/investor_page/disruption-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Disruptive",="https://finder.startupnationcentral.org/investor_page/disruptive-1",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Disruptive Technologies Venture Capital",="https://finder.startupnationcentral.org/investor_page/disruptive-technologies-venture-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Distributed Global",="https://finder.startupnationcentral.org/investor_page/distributed-global",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Distributed Ventures (FKA NFP Ventures)",="https://finder.startupnationcentral.org/investor_page/distributed-ventures-fka-nfp-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Divergent Group",="https://finder.startupnationcentral.org/investor_page/divergent-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Divergent Investments",="https://finder.startupnationcentral.org/investor_page/divergent-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="DNS Capital",="https://finder.startupnationcentral.org/investor_page/dns-capital",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Dolby Ventures",="https://finder.startupnationcentral.org/investor_page/dolby-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Dolphin Equity Partners",="https://finder.startupnationcentral.org/investor_page/dolphin-equity-partners",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Domain Associates",="https://finder.startupnationcentral.org/investor_page/domain-associates",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="DOR Ventures",="https://finder.startupnationcentral.org/investor_page/dor-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dot Capital",="https://finder.startupnationcentral.org/investor_page/dot-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dowell Propery Holdings Limited",="https://finder.startupnationcentral.org/investor_page/dowell-propery-holdings-limited",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Downing Ventures",="https://finder.startupnationcentral.org/investor_page/downing-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Doyen International",="https://finder.startupnationcentral.org/investor_page/doyen-international",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dr. Fischer",="https://finder.startupnationcentral.org/investor_page/dr-fischer-2",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dragon Ventures",="https://finder.startupnationcentral.org/investor_page/dragon-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dragoneer Investment Group",="https://finder.startupnationcentral.org/investor_page/dragoneer-investment-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dragonfly Capital",="https://finder.startupnationcentral.org/investor_page/dragonfly-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Draper Associates",="https://finder.startupnationcentral.org/investor_page/draper-associates",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Draper Nexus",="https://finder.startupnationcentral.org/investor_page/draper-nexus",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dreamstone",="https://finder.startupnationcentral.org/investor_page/dreamstone",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="Driehaus Capital Management",="https://finder.startupnationcentral.org/investor_page/driehaus-capital-management",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="DRIVe",="https://finder.startupnationcentral.org/investor_page/drive",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
"Drive by DraftKings,",="https://finder.startupnationcentral.org/investor_page/drive-by-draftkings",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="DRW Trading Group",="https://finder.startupnationcentral.org/investor_page/drw-trading-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="DS Strategic Partners",="https://finder.startupnationcentral.org/investor_page/ds-strategic-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Duchossois Technology Partners",="https://finder.startupnationcentral.org/investor_page/duchossois-technology-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Duotem Capital",="https://finder.startupnationcentral.org/investor_page/duotem-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Dysruptek",="https://finder.startupnationcentral.org/investor_page/dysruptek",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="e.ventures",="https://finder.startupnationcentral.org/investor_page/e-ventures",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="E14 fund",="https://finder.startupnationcentral.org/investor_page/e14-fund-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="E14 Fund",="https://finder.startupnationcentral.org/investor_page/e14-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Earl Grey Capital",="https://finder.startupnationcentral.org/investor_page/earl-grey-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="EarlyCap",="https://finder.startupnationcentral.org/investor_page/earlycap",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Earth Venture Capital",="https://finder.startupnationcentral.org/investor_page/earth-venture-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Eastern Epic Capital",="https://finder.startupnationcentral.org/investor_page/eastern-epic-capital",="VC and Private Equity",="",="2",="2",="",="Undisclosed",
="Eastlink Capital",="https://finder.startupnationcentral.org/investor_page/eastlink-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Easton Capital",="https://finder.startupnationcentral.org/investor_page/easton-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Eastside Partners",="https://finder.startupnationcentral.org/investor_page/eastside-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Eckuity",="https://finder.startupnationcentral.org/investor_page/eckuity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="EcoMachines Ventures",="https://finder.startupnationcentral.org/investor_page/ecomachines-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Ecosystem Integrity Fund",="https://finder.startupnationcentral.org/investor_page/ecosystem-integrity-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Edaphon",="https://finder.startupnationcentral.org/investor_page/edaphon",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
"EDBI, Singapore",="https://finder.startupnationcentral.org/investor_page/edbi-singapore",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Eden Global Partners",="https://finder.startupnationcentral.org/investor_page/eden-global-partners",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Edenred Capital Partners",="https://finder.startupnationcentral.org/investor_page/edenred-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Edge group",="https://finder.startupnationcentral.org/investor_page/edge-group",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Edtom",="https://finder.startupnationcentral.org/investor_page/edtom",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
