Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Section 32",="https://finder.startupnationcentral.org/investor_page/section-32",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Secure Octane",="https://finder.startupnationcentral.org/investor_page/secure-octane-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Security Growth Partners",="https://finder.startupnationcentral.org/investor_page/security-growth-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Seed 2 Growth",="https://finder.startupnationcentral.org/investor_page/seed-2-growth",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Seed Capital Dortmund",="https://finder.startupnationcentral.org/investor_page/seed-capital-dortmund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="SeedRocket 4Founders Capital",="https://finder.startupnationcentral.org/investor_page/seedrocket-4founders-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Seek Ventures",="https://finder.startupnationcentral.org/investor_page/seek-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Selway Capital",="https://finder.startupnationcentral.org/investor_page/selway-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Semantic Ventures",="https://finder.startupnationcentral.org/investor_page/semantic-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Semble Ventures",="https://finder.startupnationcentral.org/investor_page/semble-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Seneca VC",="https://finder.startupnationcentral.org/investor_page/seneca-vc-1",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sentinel Global",="https://finder.startupnationcentral.org/investor_page/sentinel-global",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Sentor Investments",="https://finder.startupnationcentral.org/investor_page/sentor-investments",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Sequoia China",="https://finder.startupnationcentral.org/investor_page/sequoia-china",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Serpentine Ventures",="https://finder.startupnationcentral.org/investor_page/serpentine-ventures",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="SeventySix Capital",="https://finder.startupnationcentral.org/investor_page/seventysix-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="SFK",="https://finder.startupnationcentral.org/investor_page/sfk",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="SGVC",="https://finder.startupnationcentral.org/investor_page/sgvc",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Shadow Ventures",="https://finder.startupnationcentral.org/investor_page/shadow-ventures",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Shaked Global Group",="https://finder.startupnationcentral.org/investor_page/shaked-global-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Shaman Ventures",="https://finder.startupnationcentral.org/investor_page/shaman-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shanda Group",="https://finder.startupnationcentral.org/investor_page/shanda-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Shanghai Creation Investment Management Co",="https://finder.startupnationcentral.org/investor_page/shanghai-creation-investment-management-co",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Shanghai Creative Investments",="https://finder.startupnationcentral.org/investor_page/shanghai-creative-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shanghai Healthcare Capital",="https://finder.startupnationcentral.org/investor_page/shanghai-healthcare-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Share Capital Partners",="https://finder.startupnationcentral.org/investor_page/share-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sharp Alpha Advisors",="https://finder.startupnationcentral.org/investor_page/sharp-alpha-advisors",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shengjing Group",="https://finder.startupnationcentral.org/investor_page/shengjing-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Sherbrooke Capital",="https://finder.startupnationcentral.org/investor_page/sherbrooke-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Sherpa Capital",="https://finder.startupnationcentral.org/investor_page/sherpa-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shiff Group",="https://finder.startupnationcentral.org/investor_page/shiff-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shima Capital",="https://finder.startupnationcentral.org/investor_page/shima-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Shizen Capital",="https://finder.startupnationcentral.org/investor_page/shizen-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Shore Capital",="https://finder.startupnationcentral.org/investor_page/shore-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="SHR",="https://finder.startupnationcentral.org/investor_page/shr",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
"Shrem, Fudim, Kelner Technologies",="https://finder.startupnationcentral.org/investor_page/shrem-fudim-kelner-technologies",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Shrug Capital",="https://finder.startupnationcentral.org/investor_page/shrug-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Shunwei Capital",="https://finder.startupnationcentral.org/investor_page/shunwei-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sid R. Bass Associates",="https://finder.startupnationcentral.org/investor_page/sid-r-bass-associates",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Siemens Project Ventures GmbH",="https://finder.startupnationcentral.org/investor_page/siemens-project-ventures-gmbh",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sierra Wasatch Capital",="https://finder.startupnationcentral.org/investor_page/sierra-wasatch-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Sigma Partners",="https://finder.startupnationcentral.org/investor_page/sigma-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
