Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Israel - Colorado Innovation Fund",="https://finder.startupnationcentral.org/investor_page/israel-colorado-innovation-fund-1",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Israel Cannabis Ventures (ICV)",="https://finder.startupnationcentral.org/investor_page/israel-cannabis-ventures-icv",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Israel Cleantech Ventures (ICV)",="https://finder.startupnationcentral.org/investor_page/israel-cleantech-ventures-icv",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Israel Discount Capital Markets",="https://finder.startupnationcentral.org/investor_page/israel-discount-capital-markets",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="Israel G-Tek",="https://finder.startupnationcentral.org/investor_page/israel-g-tek",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Israel HealthCare Ventures (IHCV)",="https://finder.startupnationcentral.org/investor_page/israel-healthcare-ventures-ihcv",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Israel Oil and Gas Fund",="https://finder.startupnationcentral.org/investor_page/israel-oil-and-gas-fund",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Israel Seed Partners",="https://finder.startupnationcentral.org/investor_page/israel-seed-partners",="VC and Private Equity",="",="5",="0",="",="Undisclosed",
="Itochu Corporation(Japan)",="https://finder.startupnationcentral.org/investor_page/itochu-corporation-japan",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="IVC Venture Capital",="https://finder.startupnationcentral.org/investor_page/ivc-venture-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Jack Lahav Group",="https://finder.startupnationcentral.org/investor_page/jack-lahav-group",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jacobs Investment Company",="https://finder.startupnationcentral.org/investor_page/jacobs-investment-company",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Jacobs Investments Inc.",="https://finder.startupnationcentral.org/investor_page/jacobs-investments-inc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jade Ventures",="https://finder.startupnationcentral.org/investor_page/jade-ventures",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="JAFCO Co",="https://finder.startupnationcentral.org/investor_page/jafco-co",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Jaina Capital",="https://finder.startupnationcentral.org/investor_page/jaina-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="JAM & Fintop",="https://finder.startupnationcentral.org/investor_page/jam-fintop-1",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="JAM Capital Partners",="https://finder.startupnationcentral.org/investor_page/jam-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Janom S.R.O",="https://finder.startupnationcentral.org/investor_page/janom-s-r-o",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jant Ventures",="https://finder.startupnationcentral.org/investor_page/jant-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="January Ventures",="https://finder.startupnationcentral.org/investor_page/january-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Janus Henderson Group",="https://finder.startupnationcentral.org/investor_page/janus-henderson-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="JAZZ Venture Partners",="https://finder.startupnationcentral.org/investor_page/jazz-venture-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="JBI Equity",="https://finder.startupnationcentral.org/investor_page/jbi-equity",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="JBV Capital",="https://finder.startupnationcentral.org/investor_page/jbv-capital",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="JDSUniphase",="https://finder.startupnationcentral.org/investor_page/jdsuniphase",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jesselson Capital",="https://finder.startupnationcentral.org/investor_page/jesselson-capital",="VC and Private Equity",="",="16",="1",="",="Undisclosed",
="JG Investment",="https://finder.startupnationcentral.org/investor_page/jg-investment",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="JMI Equity",="https://finder.startupnationcentral.org/investor_page/jmi-equity",="VC and Private Equity",="",="2",="1",="",="Undisclosed",
="Joint Journey Intelligent Investments",="https://finder.startupnationcentral.org/investor_page/joint-journey-intelligent-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Joint Polish Investment Fund",="https://finder.startupnationcentral.org/investor_page/joint-polish-investment-fund",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jordache Ventures",="https://finder.startupnationcentral.org/investor_page/jordache-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jovono",="https://finder.startupnationcentral.org/investor_page/jovono",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Joy Capital",="https://finder.startupnationcentral.org/investor_page/joy-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Joyance Partners",="https://finder.startupnationcentral.org/investor_page/joyance-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="JP Asia Capital Partners",="https://finder.startupnationcentral.org/investor_page/jp-asia-capital-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="JTLV Investments",="https://finder.startupnationcentral.org/investor_page/jtlv-investments",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Jump Crypto",="https://finder.startupnationcentral.org/investor_page/jump-crypto",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Jumpstart Foundry",="https://finder.startupnationcentral.org/investor_page/jumpstart-foundry",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Juneau Capital",="https://finder.startupnationcentral.org/investor_page/juneau-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Jupiter Fund Management",="https://finder.startupnationcentral.org/investor_page/jupiter-fund-management",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="K2 Access Fund",="https://finder.startupnationcentral.org/investor_page/k2-access-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="K20 Fund",="https://finder.startupnationcentral.org/investor_page/k20-fund",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="K3 Ventures",="https://finder.startupnationcentral.org/investor_page/k3-ventures",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Kadima High Tech",="https://finder.startupnationcentral.org/investor_page/kadima-high-tech",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
