Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="Greycroft",="https://finder.startupnationcentral.org/investor_page/greycroft",="VC and Private Equity",="",="14",="0",="$3B",="Undisclosed",
="Harmony Partners",="https://finder.startupnationcentral.org/investor_page/harmony-partners",="VC and Private Equity",="",="10",="0",="",="Undisclosed",
="HBM Healthcare Investments",="https://finder.startupnationcentral.org/investor_page/hbm-healthcare-investments",="VC and Private Equity",="",="6",="2",="$2B",="Undisclosed",
="Heliant Ventures",="https://finder.startupnationcentral.org/investor_page/heliant-ventures",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
="Highland Capital Partners",="https://finder.startupnationcentral.org/investor_page/highland-capital-partners",="VC and Private Equity",="",="10",="0",="$7B",="Undisclosed",
="HV Holtzbrinck Ventures",="https://finder.startupnationcentral.org/investor_page/hv-holtzbrinck-ventures",="VC and Private Equity",="",="6",="0",="",="500K - 60M",
="Illuminate Financial Management",="https://finder.startupnationcentral.org/investor_page/illuminate-financial-management",="VC and Private Equity",="",="5",="1",="$385M",="500K - 10M",
="Inference Partners",="https://finder.startupnationcentral.org/investor_page/inference-partners",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Inner Loop Capital",="https://finder.startupnationcentral.org/investor_page/inner-loop-capital",="VC and Private Equity",="",="7",="6",="",="Undisclosed",
="IT-Farm",="https://finder.startupnationcentral.org/investor_page/it-farm",="VC and Private Equity",="",="6",="1",="",="Undisclosed",
="IVP",="https://finder.startupnationcentral.org/investor_page/ivp-1",="VC and Private Equity",="",="11",="0",="",="Undisclosed",
="Jesselson Investments",="https://finder.startupnationcentral.org/investor_page/jesselson-investments",="VC and Private Equity",="",="0",="0",="",="Undisclosed",
="JK&B Capital",="https://finder.startupnationcentral.org/investor_page/jk-b-capital",="VC and Private Equity",="",="10",="0",="",="Undisclosed",
="K5 Global",="https://finder.startupnationcentral.org/investor_page/k5-global",="VC and Private Equity",="",="7",="4",="",="Undisclosed",
="Kleiner Perkins",="https://finder.startupnationcentral.org/investor_page/kleiner-perkins",="VC and Private Equity",="",="17",="1",="$3.83B",="Undisclosed",
="Korea Investment Partners",="https://finder.startupnationcentral.org/investor_page/korea-investment-partners-1",="VC and Private Equity",="",="8",="1",="$3.3B",="Undisclosed",
="Koyo Capital",="https://finder.startupnationcentral.org/investor_page/koyo-capital",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="KT Squared LLC",="https://finder.startupnationcentral.org/investor_page/kt-squared-llc",="VC and Private Equity",="",="7",="1",="",="Undisclosed",
="Leaders Fund",="https://finder.startupnationcentral.org/investor_page/leaders-fund",="VC and Private Equity",="",="7",="3",="",="Undisclosed - 20M",
="Lerer Hippeau Ventures",="https://finder.startupnationcentral.org/investor_page/lerer-hippeau-ventures",="VC and Private Equity",="",="11",="1",="$1.2B",="Undisclosed",
="LETA Capital",="https://finder.startupnationcentral.org/investor_page/leta-capital-2",="VC and Private Equity",="",="11",="1",="",="500K - 5M",
="Matrix Partners",="https://finder.startupnationcentral.org/investor_page/matrix-partners",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
="Maven Ventures",="https://finder.startupnationcentral.org/investor_page/maven-ventures",="VC and Private Equity",="",="6",="0",="",="1M - 1M",
="Meitav Dash",="https://finder.startupnationcentral.org/investor_page/meitav-dash",="VC and Private Equity",="",="25",="1",="$37B",="Undisclosed",
="Meritech Capital Partners",="https://finder.startupnationcentral.org/investor_page/meritech-capital-partners",="VC and Private Equity",="",="7",="0",="$2.6B",="Undisclosed",
="Middleland Capital",="https://finder.startupnationcentral.org/investor_page/middleland-capital",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Mitsubishi UFJ Capital",="https://finder.startupnationcentral.org/investor_page/mitsubishi-ufj-capital",="VC and Private Equity",="",="9",="0",="$750M",="Undisclosed",
="Morgan Stanley Expansion Capital",="https://finder.startupnationcentral.org/investor_page/morgan-stanley-expansion-capital",="VC and Private Equity",="",="1",="0",="",="20M - 60M",
="Nexus Venture Partners",="https://finder.startupnationcentral.org/investor_page/nexus-venture-partners",="VC and Private Equity",="",="4",="0",="$2.6B",="Undisclosed",
="Octopus Ventures",="https://finder.startupnationcentral.org/investor_page/octopus-ventures-1",="VC and Private Equity",="",="10",="1",="$1.8B",="130K - 1.3M",
="Office of the Chief Scientist",="https://finder.startupnationcentral.org/investor_page/office-of-the-chief-scientist",="VC and Private Equity",="",="65",="0",="",="Undisclosed",
="Oxx",="https://finder.startupnationcentral.org/investor_page/oxx",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Paradigm",="https://finder.startupnationcentral.org/investor_page/paradigm",="VC and Private Equity",="",="5",="0",="$3.35B",="Undisclosed",
="Plan B Fund",="https://finder.startupnationcentral.org/investor_page/plan-b-fund",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="Primera Capital",="https://finder.startupnationcentral.org/investor_page/primera-capital",="VC and Private Equity",="",="6",="0",="",="Undisclosed",
="Pritzker Group Venture Capital",="https://finder.startupnationcentral.org/investor_page/pritzker-group-venture-capital",="VC and Private Equity",="",="7",="0",="",="500K - 5M",
="RA Capital Management",="https://finder.startupnationcentral.org/investor_page/ra-capital-management",="VC and Private Equity",="",="6",="1",="$10B",="1M - 75M",
="Regah Ventures",="https://finder.startupnationcentral.org/investor_page/regah-ventures",="VC and Private Equity",="",="7",="1",="",="1M - 3M",
="Rembrandt Venture Partners",="https://finder.startupnationcentral.org/investor_page/rembrandt-venture-partners-1",="VC and Private Equity",="",="11",="0",="$500M",="Undisclosed",
="Rho Capital Partners",="https://finder.startupnationcentral.org/investor_page/rho-capital-partners",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
="Right Side Capital Management",="https://finder.startupnationcentral.org/investor_page/right-side-capital-management",="VC and Private Equity",="",="7",="0",="$320M",="150K - 300K",
="Rimonci Capital",="https://finder.startupnationcentral.org/investor_page/rimonci-capital-1",="VC and Private Equity",="",="10",="0",="",="Undisclosed",
="RiverPark Ventures",="https://finder.startupnationcentral.org/investor_page/riverpark-ventures",="VC and Private Equity",="",="8",="0",="",="500K - 25M",
="RTP Ventures",="https://finder.startupnationcentral.org/investor_page/rtp-ventures",="VC and Private Equity",="",="9",="0",="$655M",="Undisclosed",
="Sands Capital",="https://finder.startupnationcentral.org/investor_page/sands-capital",="VC and Private Equity",="",="6",="0",="$49B",="10M - 15M",
="Scopus Ventures",="https://finder.startupnationcentral.org/investor_page/scopus-ventures-1",="VC and Private Equity",="",="7",="0",="",="500K - 1M",
="Shasta Ventures",="https://finder.startupnationcentral.org/investor_page/shasta-ventures",="VC and Private Equity",="",="8",="1",="$1B",="Undisclosed",
="Singularity Capital",="https://finder.startupnationcentral.org/investor_page/singularity-capital",="VC and Private Equity",="",="8",="0",="$48.5M",="Undisclosed",
="SixThirty",="https://finder.startupnationcentral.org/investor_page/sixthirty-1",="VC and Private Equity",="",="10",="0",="$96B",="Undisclosed",
="Social Capital",="https://finder.startupnationcentral.org/investor_page/social-capital",="VC and Private Equity",="",="7",="0",="",="Undisclosed",
