Name,Finder URL,Type,Investment Stage,Investments,IL investments in past 2Y,Managed Assets,Investment Range
="GreyMatter Capital",="https://finder.startupnationcentral.org/investor_page/greymatter-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Griffin Gaming Partners",="https://finder.startupnationcentral.org/investor_page/griffin-gaming-partners",="VC and Private Equity",="",="4",="0",="",="Undisclosed",
="Griffin Ventures",="https://finder.startupnationcentral.org/investor_page/griffin-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Groupe Arnault",="https://finder.startupnationcentral.org/investor_page/groupe-arnault",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Gryffin Ventures",="https://finder.startupnationcentral.org/investor_page/gryffin-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GSR",="https://finder.startupnationcentral.org/investor_page/gsr",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="GSR Ventures",="https://finder.startupnationcentral.org/investor_page/gsr-ventures",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="GSV Ventures",="https://finder.startupnationcentral.org/investor_page/gsv-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GTI Capital",="https://finder.startupnationcentral.org/investor_page/gti-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Guangxi Wuzhou Pharmaceutical Group",="https://finder.startupnationcentral.org/investor_page/guangxi-wuzhou-pharmaceutical-group",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="GuideStar",="https://finder.startupnationcentral.org/investor_page/guidestar",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Gullspång Re:food",="https://finder.startupnationcentral.org/investor_page/gullsp-ng-re-food",="VC and Private Equity",="",="1",="1",="",="Undisclosed",
="gumi Cryptos",="https://finder.startupnationcentral.org/investor_page/gumi-cryptos",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Gurnet Point Capital",="https://finder.startupnationcentral.org/investor_page/gurnet-point-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GVA capital",="https://finder.startupnationcentral.org/investor_page/gva-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="GVA Vestor.in",="https://finder.startupnationcentral.org/investor_page/gva-vestor-in",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="H Capital",="https://finder.startupnationcentral.org/investor_page/h-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="H.I.G. BioHealth Partners",="https://finder.startupnationcentral.org/investor_page/h-i-g-biohealth-partners",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="H.I.G. Capital",="https://finder.startupnationcentral.org/investor_page/h-i-g-capital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hack VC",="https://finder.startupnationcentral.org/investor_page/hack-vc",="VC and Private Equity",="",="4",="1",="",="Undisclosed",
="HackCapital",="https://finder.startupnationcentral.org/investor_page/hackcapital",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Haga Ventures",="https://finder.startupnationcentral.org/investor_page/haga-ventures",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hagshama Fund",="https://finder.startupnationcentral.org/investor_page/hagshama-fund",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Hallett Capital",="https://finder.startupnationcentral.org/investor_page/hallett-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Halman Adubi",="https://finder.startupnationcentral.org/investor_page/halman-adubi",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hambro Perks",="https://finder.startupnationcentral.org/investor_page/hambro-perks",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Handok",="https://finder.startupnationcentral.org/investor_page/handok",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Hantech Venture Capital Corp",="https://finder.startupnationcentral.org/investor_page/hantech-venture-capital-corp",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="Harbor Pacific Capital",="https://finder.startupnationcentral.org/investor_page/harbor-pacific-capital",="VC and Private Equity",="",="2",="0",="",="Undisclosed",
="Hargreave Hale",="https://finder.startupnationcentral.org/investor_page/hargreave-hale",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
="HashKey Capital",="https://finder.startupnationcentral.org/investor_page/hashkey-capital",="VC and Private Equity",="",="3",="1",="",="Undisclosed",
="Hasso Plattner Ventures",="https://finder.startupnationcentral.org/investor_page/hasso-plattner-ventures",="VC and Private Equity",="",="3",="0",="",="Undisclosed",
="Hatcher VC",="https://finder.startupnationcentral.org/investor_page/hatcher-vc",="VC and Private Equity",="",="1",="0",="",="Undisclosed",
